"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00811726410243658,0.00811726410243658,0.00811726410243658,0.00811726410243658,0.00811726410243658,0.00811726410243658,0.00811726410243658,0.00807417880505295,0.00743818941150982,0.0071261097212052,0.006467630966775,0.00471200983403545,0.0042188429533052,0.00420912911054983,0.00420080295961664,0.00420080295961664,0.00409237100655389,0.00372646333151775,0.00237445435688324,0.00169400486355115,0.00156940624379462,0.00141740441184377,0.00131048965897228,0.00118821591591549,0.00106728075019502,0.000988213090931908,0.000977364989486623,0.000968066616819235,0.000935091864603037,0.0008289603843919,0.000779221996111528,0.000299137325371081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0010120340635152,0.0010120340635152,0.0010120340635152,0.0010120340635152,0.0010120340635152,0.0010120340635152,0.0010120340635152,0.00099484400863624,0.000981601209604756,0.000901591550947443,0.00085736738443907,0.000528034929027337,0.000349220154759912,0.000349220154759912,0.000349220154759912,0.000349220154759912,0.000338637677768283,0.000329566983204031,0.000318807896812159,0.000298744262899246,0.000192796760467903,0.000146287954642592,0.000137048797612829,0.000137048797612829,7.75229402644727e-05,5.76844802440586e-05,5.76844802440586e-05,5.76844802440586e-05,5.76844802440586e-05,4.58955403801763e-05,3.41066005162941e-05,1.0244474350223e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.0027563889908133,0.00271305880907742,0.00270686878311515,0.00269194917481533,0.00261476292732653,0.0025672419384569,0.0025672419384569,0.0025672419384569,0.0025672419384569,0.00175990113543388,0.0013882278400655,0.00123427085935033,0.00107922107608376,0.00101244182604384,0.00101244182604384,0.000886841506709526,0.000770667626089415,0.000736258451048264,0.000332877533981438,0.000217625843390916,0.000217625843390916,0.000217625843390916,0.000217625843390916,0.000217625843390916,2.72032304238645e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0349090038132047,0.0323475416155716,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0305179257601194,0.0285231940347353,0.0276683090095708,0.0276683090095708,0.0269302402192727,0.0267193634220447,0.0267193634220447,0.0254594671270993,0.0250994967571149,0.0250994967571149,0.0250994967571149,0.0186715271461897,0.0122435575352646,0.0122435575352646,0.00471975267973951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.0031948174341093,0.00312641559997812,0.00309710052820761,0.00291990436462249,0.00284396315165743,0.00284396315165743,0.00284396315165743,0.00284396315165743,0.00271413917736065,0.00227529044582935,0.00210310923120941,0.00182104676257685,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00178075212420077,0.00170879367353595,0.000384254143136359,8.43237121956504e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.00504649014956237,0.0021401983706778,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000479460211315181,0.000199775088047992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0190781376501073,0.0190781376501073,0.0190781376501073,0.0190781376501073,0.0190781376501073,0.0190781376501073,0.0190781376501073,0.0185230936178705,0.01836450960866,0.01836450960866,0.0182597795960091,0.018214895304873,0.0180369619881674,0.0169470677594424,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0166574571614442,0.0163039117683759,0.0160513793447557,0.00481541380342671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
