"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0145573517952349,0.0144228305683052,0.014233092130804,0.0139465973468703,0.0132485811935088,0.0131746343348278,0.0127227318972077,0.0127227318972077,0.0118899542609986,0.0114097262536131,0.0112509937672331,0.01121962619295,0.01121962619295,0.0109949237985303,0.010639316991104,0.00854529673745208,0.00700019104344963,0.00607879797985245,0.00434688790627361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00458131831238234,0.00421282705966676,0.00389697741448199,0.00389697741448199,0.00389697741448199,0.00389697741448199,0.00389697741448199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0183322426636113,0.0181008160950575,0.0178046632477161,0.0177294941308657,0.0177294941308657,0.0177294941308657,0.0177294941308657,0.0174465046195326,0.017406077546485,0.017406077546485,0.017406077546485,0.0155181451790395,0.0138999174355148,0.00429288757507888,0.00117242384430298,0.000565500019873828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0498898728829537,0.0489331684058778,0.0481131359969556,0.0481131359969556,0.0481131359969556,0.0481131359969556,0.0459844944949984,0.0453763112087249,0.0453763112087249,0.0453763112087249,0.0453763112087249,0.0453763112087249,0.0158489636197299,0.00261234636334049,0.000541456185585539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000635972796926105,0.000231262835245856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
