"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.005691272395599,0.00546524335891925,0.00513063428879265,0.0044786488201533,0.00392186397878146,0.00376182008926085,0.00314797372129827,0.00285717079364991,0.00251187500114429,0.0021360458338307,0.00193818030599635,0.00193818030599635,0.000907738747881098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0124198638486451,0.0124198638486451,0.0124198638486451,0.0124198638486451,0.0124198638486451,0.0124198638486451,0.0124198638486451,0.0122757548295682,0.012140926397598,0.0117141595113339,0.0110185845846252,0.0104767369944401,0.00974187482653863,0.00928244621548104,0.00896970254425193,0.00874780260615535,0.00814288336314915,0.00782922471541294,0.00732913944819466,0.00645869725385737,0.00284359930749046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00700622463136112,0.00700622463136112,0.00700622463136112,0.00700622463136112,0.00700622463136112,0.00700622463136112,0.00700622463136112,0.00652459266629876,0.00642346917564641,0.0064050012189522,0.00631807847291762,0.00561868684689499,0.00526644481646862,0.00520782801424665,0.00405429631024522,0.00350853320828004,0.00323796700160223,0.0028694003478968,0.00257106719508109,0.00257106719508109,0.00127348644723089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0279266095756519,0.0271496699888445,0.0267057045106688,0.0267057045106688,0.0267057045106688,0.022013031223637,0.00918598654369273,0.00245672367827968,0.00205190914329501,0.00205190914329501,0.00100465052930681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00639846461182071,0.00521915829231783,0.00462646656287517,0.00462646656287517,0.00422291325348536,0.00410761230794541,0.00403805689134292,0.00323923415764853,0.00283897692671121,0.00282887976735912,0.00132188032791833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00754932983410382,0.00737426001915507,0.00476022377269012,0.00286152360002315,0.0028038901780932,0.0028038901780932,0.0028038901780932,0.0028038901780932,0.0028038901780932,0.000623086706242932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
