"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000652265267644684,0.000224869875568897,0.000102756906404386,0.000102756906404386,4.94987613767014e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.90655356465959e-05,1.11785235124715e-05,3.59925020999523e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,0.000180117465884691,9.75952942748306e-05,7.18070622201391e-05,7.18070622201391e-05,7.18070622201391e-05,7.18070622201391e-05,7.18070622201391e-05,7.18070622201391e-05,5.60133637246084e-05,4.69883931557338e-05,4.69883931557338e-05,4.69883931557338e-05,4.69883931557338e-05,1.40965179467201e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00144595351670909,0.00144595351670909,0.00144595351670909,0.00144595351670909,0.00144595351670909,0.00144595351670909,0.00144595351670909,0.00130204471734471,0.00128148631743551,0.00128148631743551,0.00128148631743551,0.00120192114025315,0.00115645532472036,0.0010232311743911,0.000958642485511236,0.000913085818106985,0.000545039385102182,0.000334727137670866,0.000334727137670866,0.000334727137670866,0.000334727137670866,0.000334727137670866,0.000334727137670866,0.000334727137670866,0.000110310369867947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00019952266602155,0.00019952266602155,0.00019952266602155,0.00019952266602155,0.00019952266602155,0.00019952266602155,0.00019952266602155,2.49403332526937e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000521284725594875,0.000342238094282153,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000316660004094621,0.000115149092398044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,0.000163749109531034,5.95451307385577e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
