"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00353339113380229,0.00353339113380229,0.00353339113380229,0.00353339113380229,0.00353339113380229,0.00353339113380229,0.00353339113380229,0.00345610861057661,0.00334989435327031,0.00332379072000666,0.00301856597874882,0.00274968247123906,0.00262643263125821,0.0025216863443587,0.00248517336770022,0.00248517336770022,0.00248517336770022,0.00248517336770022,0.00248517336770022,0.00243262731752793,0.00243262731752793,0.00226547594310427,0.00213314347379762,0.00213314347379762,0.00213314347379762,0.00213314347379762,0.00208776628262417,0.00202024375735587,0.00181367736534901,0.00158818722547166,0.00132949630782438,0.000543623875246421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0118514530859797,0.0118514530859797,0.0118514530859797,0.0118514530859797,0.0118514530859797,0.0118514530859797,0.0118514530859797,0.0118341938747502,0.0116708113712881,0.0114807248265185,0.0113488347367336,0.0112413093967962,0.0112323378431329,0.0112310561926096,0.0112310561926096,0.0112310561926096,0.0112310561926096,0.0108923397289195,0.0108064121227633,0.0108064121227633,0.0108064121227633,0.0105108911419956,0.0102196113561414,0.00628999279782146,0.00492007018947433,0.00375393861641322,0.00258583239104753,0.00243940600617891,0.00243940600617891,0.00242175767222961,0.00242175767222961,0.00100906569676234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0119114225186908,0.0119114225186908,0.0119114225186908,0.0119114225186908,0.0119114225186908,0.0119114225186908,0.0119114225186908,0.0116028755956123,0.0114593543656219,0.0103637716612425,0.00981391680518063,0.00952867354777772,0.00941119668905309,0.00914883343771889,0.00800654552012776,0.00698934474753152,0.00667897553687267,0.00645728324354493,0.00645728324354493,0.00645728324354493,0.00645728324354493,0.00645728324354493,0.00645728324354493,0.00579659278146146,0.00547722472879462,0.00538751927267309,0.00538751927267309,0.00538751927267309,0.00449436938015731,0.00398399801300544,0.00398399801300544,0.0016599991720856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0178313563440312,0.0172606256096643,0.0170975596855595,0.016312588730087,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.0162004500221623,0.00360010000492496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00506780151875406,0.00506780151875406,0.00506780151875406,0.00506780151875406,0.00506780151875406,0.00506780151875406,0.00506780151875406,0.00500018329285,0.00490527272830283,0.00486207783034186,0.00486207783034186,0.00486207783034186,0.00486207783034186,0.00486207783034186,0.00486207783034186,0.00486207783034186,0.00435403009782902,0.00399113886031985,0.00399113886031985,0.00399113886031985,0.00399113886031985,0.00385867889965549,0.00382083319660854,0.00382083319660854,0.00300486775135221,0.0025386017826343,0.00226302187760379,0.00222365331974229,0.00222365331974229,0.00222365331974229,0.00222365331974229,0.000926522216559289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
