"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000777894352216506,0.000777894352216506,0.000777894352216506,0.000777894352216506,0.000777894352216506,0.000777894352216506,0.000777894352216506,0.000770031860683985,0.000768908647607911,0.000768908647607911,0.000768908647607911,0.000534559679630269,0.000219423590407684,0.000159735799830536,8.14371437992317e-05,7.02516215090454e-05,3.99386447032703e-05,1.82865184134309e-05,1.82865184134309e-05,1.82865184134309e-05,1.82865184134309e-05,1.82865184134309e-05,1.82865184134309e-05,2.28581480167886e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0084478934513395,0.0084478934513395,0.0084478934513395,0.0084478934513395,0.0084478934513395,0.0084478934513395,0.0084478934513395,0.00807850067148984,0.00747998085548491,0.00728114977529437,0.00657538496639798,0.00573516108326439,0.00543363718425839,0.00533991074082494,0.00476365710855643,0.00439791761976796,0.00405091939244284,0.00378348943763194,0.00375656576110399,0.00375108961119352,0.00155960540814192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00178472599698833,0.00178472599698833,0.00178472599698833,0.00178472599698833,0.00178472599698833,0.00178472599698833,0.00178472599698833,0.00151577684120198,0.00139143823126705,0.00139143823126705,0.000939847943119874,0.000630618546761804,0.00043080204199916,0.000354812554887042,0.000354812554887042,0.000354812554887042,0.000259311238847075,0.000163841266890373,0.0001287725839726,0.0001287725839726,0.0001287725839726,1.6096572996575e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00198150425030935,0.00180010899673397,0.00160140847990836,0.00156190420644694,0.00156190420644694,0.00156190420644694,0.0014401855845068,0.00126969260796195,0.00123188533415189,0.00110777078051298,0.00100138687739391,0.000647389540206983,9.45553731045435e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00266802965017885,0.00256827403185057,0.00255402322923225,0.001994352617105,0.000415970227564596,0.000228436133542895,0.000228436133542895,0.000228436133542895,0.000228436133542895,0.000228436133542895,0.000228436133542895,0.00013966316916773,0.00011429946506054,0.00011429946506054,4.76247771085583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00996045932072103,0.00124505741509013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00101535861871202,0.00025505169168001,0.00025505169168001,0.000150071997323827,7.50865013551247e-05,7.50865013551247e-05,7.50865013551247e-05,1.66858891900277e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
