"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00689289468418551,0.00689289468418551,0.00689289468418551,0.00689289468418551,0.00689289468418551,0.00689289468418551,0.00689289468418551,0.00630904095954378,0.00543222829491742,0.00431177873815132,0.00398971647629815,0.0038065558649188,0.00365638983142268,0.00349196948076785,0.00312980000947573,0.00284559116991927,0.00245417859192898,0.00217696874030146,0.00134347344029286,0.000777212945449671,0.000360835206698169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0190372672124294,0.0190372672124294,0.0190372672124294,0.0190372672124294,0.0190372672124294,0.0190372672124294,0.0190372672124294,0.0189255380551254,0.0188505554536537,0.0188505554536537,0.018810161846736,0.0167880418909524,0.0155063587428108,0.01546312110619,0.0140366698425245,0.0123900515724779,0.00458342997616613,0.00233066240278537,0.00210495181862655,0.00196769466779443,0.000976830998436106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0133999507263645,0.0133999507263645,0.0133999507263645,0.0133999507263645,0.0133999507263645,0.0133999507263645,0.0133999507263645,0.0133512537406292,0.013198541224775,0.0129460735029912,0.0126868366989232,0.0125614761201147,0.0117239258298917,0.0109414550499044,0.010789135804812,0.0101317396226279,0.00941871854883152,0.00789499880408972,0.00426311323425874,0.00243211269168983,0.00106897399381794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00279649295621854,0.00279649295621854,0.00279649295621854,0.00279649295621854,0.00279649295621854,0.00279649295621854,0.00279649295621854,0.00261531519371313,0.00201285117157677,0.00148803476194273,0.00148803476194273,0.00148803476194273,0.00148803476194273,0.00148803476194273,0.00148803476194273,0.00148803476194273,0.000973123057941634,0.000193370970471942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00457140080723926,0.00457140080723926,0.00457140080723926,0.00457140080723926,0.00457140080723926,0.00457140080723926,0.00457140080723926,0.004244045922932,0.0030394722246346,0.00210039810339234,0.0019695306963587,0.00186733977756219,0.00180669693459747,0.00164152153397911,0.00162411309337697,0.00162411309337697,0.00125073061915183,0.00112613121450451,0.000553648068681821,0.000342475280894646,6.51919686385957e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00725987160152687,0.00662056486050437,0.00652923532607258,0.00652923532607258,0.00652923532607258,0.00603425846045713,0.00203954520235654,0.000648131748481436,0.000493691779295401,0.000300089190675348,0.000230809841563651,5.12910759030335e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
