"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00353021916613394,0.00351196270813831,0.00348214165316584,0.0034653609253331,0.00330028116796256,0.00316053075155552,0.00315575759040295,0.0029584079390098,0.00281137358403252,0.00273293177121452,0.00267690190491595,0.00265267096764076,0.00245855399444362,0.00218615174222022,0.00185954164937094,0.00172739294972788,0.0012793041010297,0.000595118671727689,0.000335326539458014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00408534704571144,0.00408534704571144,0.00408534704571144,0.00408534704571144,0.00408534704571144,0.00408534704571144,0.00408534704571144,0.00406539358441407,0.00399390727222332,0.0039393335061275,0.00350294092327369,0.0031435913558761,0.00313647976450419,0.00300495126334178,0.00283658603500305,0.00279431062910222,0.00277266593586005,0.00277012213480565,0.00262791842581878,0.00257602408549835,0.00234262778533052,0.00209324803552083,0.00198695454321536,0.00182814821072603,0.00123507908737076,0.000633495422861026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00612785168717323,0.00596397569743042,0.00581969483344545,0.00577793442011389,0.00577196864678081,0.00463147014459629,0.00436251920666092,0.00419123891327609,0.00417225909458715,0.00417225909458715,0.00412582143485027,0.00393922035563181,0.00286688950496898,0.00234549576184708,0.00229746677119202,0.00116254547060429,0.000428446551533327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,0.000128504886687487,1.60631108359358e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00394433339808762,0.00389172042147866,0.00384662358438526,0.00384662358438526,0.00384662358438526,0.00384662358438526,0.00370765076757511,0.00362823772939788,0.00362823772939788,0.00362823772939788,0.00348388780817592,0.00336015930427138,0.00336015930427138,0.00336015930427138,0.00336015930427138,0.00336015930427138,0.00330956934097574,0.00227476542705434,0.00160238785396296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00145393371549905,0.00136289203985029,0.00119027180248301,0.00111517527040501,0.00067420948213887,0.000378086304332007,0.000378086304332007,0.000378086304332007,0.000378086304332007,0.000378086304332007,0.000378086304332007,0.000353401739704813,0.000349875373329499,0.000349875373329499,0.000268917077675315,0.000105544861818306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
