"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000495780236226815,0.000441824445860638,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000418700535703706,0.000321555951428614,0.000215602756826289,0.000205155840873602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000391193544214472,0.000183923133282778,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,6.54828984646678e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000533323815676622,0.000367780931393507,0.000273184997517442,0.000273184997517442,0.000273184997517442,0.000179061785361131,0.000165615612195943,0.000165615612195943,0.000165615612195943,0.000165615612195943,0.000165615612195943,0.000128967435955168,0.000128967435955168,0.000128967435955168,0.000128967435955168,0.000128967435955168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000466274874595144,0.000215203788274682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000532157084515247,0.000427106489367655,0.000299586126730753,0.000201367026570195,0.000186157705686549,7.75657107027288e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.0193349054519423,0.00715143365313083,9.47248840478471e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
