"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0185892952194504,0.0185892952194504,0.0185892952194504,0.0185892952194504,0.0185892952194504,0.0185892952194504,0.0185892952194504,0.0183282915921035,0.0182537191271473,0.018165202196769,0.0143839299034076,0.0111835131245776,0.0110412251943666,0.0107354134951915,0.0104580107458683,0.0103746250933991,0.0101684518683706,0.00985401932076419,0.00975265167830088,0.00964634019756543,0.00935241311510084,0.00913558450999346,0.00906516008295759,0.00906516008295759,0.00904500951637737,0.00903061625453435,0.00876972059395293,0.00839062033836702,0.00832602158064923,0.00832602158064923,0.00832602158064923,0.00346917565860385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00700491882595314,0.00700491882595314,0.00700491882595314,0.00700491882595314,0.00700491882595314,0.00700491882595314,0.00700491882595314,0.00694788911412258,0.00681798793985452,0.00667125698154379,0.00646352261950657,0.00623175745656578,0.00584842519553046,0.00567190727646354,0.00566062820882021,0.00561242721455505,0.00558563105698829,0.00472226029590237,0.00288133760660163,0.0023557971986371,0.0023240681206985,0.0023104699444391,0.0023104699444391,0.00230000221210243,0.00223141370709747,0.00214899157833593,0.00212739673056774,0.00212739673056774,0.00212739673056774,0.00212739673056774,0.00212739673056774,0.000886415304403225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00677577465469499,0.00677577465469499,0.00677577465469499,0.00677577465469499,0.00677577465469499,0.00677577465469499,0.00677577465469499,0.00430670491915942,0.00360125642329211,0.00360125642329211,0.00240963678987874,0.00155628163530564,0.0014575722840111,0.0014575722840111,0.0014575722840111,0.0014575722840111,0.0014575722840111,0.00129567514497757,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.00118003433138219,0.000491680971409245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0242758876497478,0.0242758876497478,0.0242758876497478,0.0242758876497478,0.0242758876497478,0.0242758876497478,0.0242758876497478,0.0185659609163918,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.0169345532782901,0.00394542675846846,0.0020898372556368,0.000626951176691039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00852590360397865,0.00852590360397865,0.00852590360397865,0.00852590360397865,0.00852590360397865,0.00852590360397865,0.00852590360397865,0.00804088431960905,0.00790230738121774,0.00790230738121774,0.00733506393327756,0.00654869601542095,0.00584336287584151,0.00584336287584151,0.00584336287584151,0.00584336287584151,0.00463005359435427,0.00331179032499185,0.00286266180137905,0.00286266180137905,0.00286266180137905,0.00270020095179356,0.00260736618060185,0.00244280305926377,0.00241929404192976,0.00241929404192976,0.00241929404192976,0.00241929404192976,0.00241929404192976,0.00241929404192976,0.00241929404192976,0.0010080391841374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00379135440942135,0.00379135440942135,0.00379135440942135,0.00379135440942135,0.00379135440942135,0.00379135440942135,0.00189567720471068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00843583988771504,0.00828709391759421,0.00822334564468529,0.00822334564468529,0.00822334564468529,0.00583657178675348,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.0048136687047827,0.00106970415661838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
