"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00170597861935809,0.00168875507605681,0.00163338047919487,0.00136369539006093,0.00134153741148074,0.00124869303512834,0.00123900701493727,0.00123900701493727,0.00104822461550607,0.000721448909495735,0.000536349863155364,0.00036517591236816,0.000258716179771506,0.000129358089885753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00124077080610236,0.00124077080610236,0.00124077080610236,0.00124077080610236,0.00124077080610236,0.00124077080610236,0.00124077080610236,0.00122227640429946,0.00120906611729739,0.0010048551110844,0.000810322246384482,0.000546014696019609,0.000495931649073357,0.000454954625023922,0.000435368598474012,0.000280225171786914,0.000210000311930527,9.34682196413839e-05,2.48026930096784e-05,6.64471831583855e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0172111070600827,0.0171127763666144,0.0166008452427372,0.0162654377812072,0.0162654377812072,0.0162654377812072,0.0162654377812072,0.0147994471201797,0.00387618555721092,0.000714189177051886,0.000621967733556187,0.000396036267620797,0.000141361809343512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00111025359130182,0.00100743178290847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00139353288019781,0.00139353288019781,0.00139353288019781,0.00139353288019781,0.00139353288019781,0.00139353288019781,0.00139353288019781,0.00123730644993277,0.00112340649101627,0.00112340649101627,0.00112340649101627,0.00112340649101627,0.00112340649101627,0.00112340649101627,0.000982900895742117,0.000721589244222508,0.000701463775059399,0.000701463775059399,0.000701463775059399,0.000482227114285841,0.000147154988239967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00027911591911588,0.00027911591911588,0.00027911591911588,0.00027911591911588,0.00027911591911588,0.00027911591911588,0.00027911591911588,0.000207510496059831,0.000187051803758103,0.000187051803758103,0.000187051803758103,8.49428907939123e-05,2.65949405286606e-05,2.65949405286606e-05,2.65949405286606e-05,3.32436756608257e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
