"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0431865293063305,0.0431865293063305,0.0431865293063305,0.0431865293063305,0.0431865293063305,0.0431865293063305,0.0431865293063305,0.0411232485971973,0.0391977267529867,0.0369485402216389,0.0347654314901903,0.033624903556113,0.0240258237312585,0.0198020376478851,0.0191042859267018,0.0183049131041585,0.0167829338337487,0.0159968867800008,0.0156941870873587,0.0152593551719353,0.0149806709861391,0.0145620170103257,0.0135897094866614,0.0104503969586761,0.0082881953871167,0.0079580629749443,0.00717699066836817,0.00671637020059759,0.006369951616624,0.00530056422244185,0.0047533412048895,0.00193460017535422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.109107568163267,0.109107568163267,0.109107568163267,0.109107568163267,0.109107568163267,0.109107568163267,0.109107568163267,0.106078001579158,0.103224796494353,0.0987670542660007,0.0938481545959985,0.0901935473405993,0.0861877526133742,0.0842700447197415,0.0829772540659879,0.0813142745824483,0.0795807332553277,0.078775826574593,0.0765987206931979,0.0742661139314836,0.0723201201297775,0.0710907986554841,0.0678906558446586,0.0624760677748931,0.0584823254167135,0.0550888298235423,0.0518678426455382,0.0486614318731751,0.0449974319465367,0.0397261803714173,0.0365648882989274,0.0145858472922917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0274885109107321,0.0274885109107321,0.0274885109107321,0.0274885109107321,0.0274885109107321,0.0274885109107321,0.0274885109107321,0.0263929847835656,0.0240440579046283,0.0228182319369629,0.022227924338201,0.0210820912189075,0.0198129245207165,0.0184617709059657,0.0174922953612846,0.0173339936965519,0.0163972016397924,0.0155769901390934,0.0153718419387435,0.0150092624362806,0.0148857772857698,0.0147565146547004,0.0133418356269934,0.011594688155835,0.0112641614216122,0.0109305162326726,0.0101165856074768,0.0094993040549519,0.00836892459345684,0.00755598289982598,0.0071313051769468,0.00294515856176032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0302504968865615,0.0302504968865615,0.0302504968865615,0.0302504968865615,0.0302504968865615,0.0302504968865615,0.0302504968865615,0.0272206599135706,0.0251322268732988,0.0244922833192119,0.0242197988621084,0.0242197988621084,0.023266310181294,0.0232061689238732,0.0231005269225678,0.0230854352080956,0.0230854352080956,0.023049302133833,0.0178113578776419,0.0162309576233633,0.0161936187678235,0.0161616140345037,0.015093756163,0.0059236502295,0.00580933115105074,0.00549961880461323,0.00537208920393808,0.00536093481569927,0.0052814652260466,0.00523605403195936,0.00485511140250127,0.00186499016505971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0954741650818968,0.0954741650818968,0.0954741650818968,0.0954741650818968,0.0954741650818968,0.0954741650818968,0.0954741650818968,0.0942781947804006,0.0924623981453539,0.0900739767839498,0.0848838151557776,0.0813272664490206,0.0796658090533827,0.0790346017485556,0.0777853726707034,0.0777267283864354,0.0774073542799752,0.0771891910476185,0.0761660715000815,0.0753117337220231,0.0751163347320176,0.0750338889201786,0.0720548236684172,0.0661099880835843,0.0635256189807774,0.0623665769539795,0.0611755871751385,0.0571279238620912,0.0537465754176131,0.0501996213168844,0.047719481658184,0.0190776668631356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0481440184613187,0.0481440184613187,0.0481440184613187,0.0481440184613187,0.0481440184613187,0.0481440184613187,0.0481440184613187,0.0457767300748447,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0444239938540023,0.0205033817787703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0481083897441536,0.0481083897441536,0.0481083897441536,0.0481083897441536,0.0481083897441536,0.0481083897441536,0.0466506403745445,0.0443492700357662,0.0398462724076068,0.0360529978795548,0.0346169079516051,0.0344275346793362,0.0317476238942403,0.0306519102474036,0.0306519102474036,0.0303458553415091,0.0298193619240405,0.0284026064386275,0.0268981068579246,0.0251968903310622,0.0243531399106137,0.0239531492105831,0.0170998707981608,0.0121917550482022,0.00771066600497519,0.0061872182428757,0.00605738974535565,0.00507472271101589,0.00445281398830571,0.00439256485144174,0.000968474838496391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
