"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586351422303674,0.0586126063329205,0.0585997286772366,0.0585997286772366,0.0576789325259263,0.0557410553122564,0.0548981877248595,0.0548981877248595,0.0544904625826965,0.0529864996808994,0.0519470162602752,0.0519470162602752,0.0517539814167297,0.048519804520351,0.0469940111335472,0.044466544563846,0.0407318027980605,0.0283871924076158,0.0173815837429746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.02707997104016,0.02707997104016,0.02707997104016,0.02707997104016,0.02707997104016,0.02707997104016,0.02707997104016,0.0253047429584481,0.0214937664077252,0.019974356180977,0.0196521137205827,0.0196060790833835,0.0196060790833835,0.0196060790833835,0.0196060790833835,0.0196060790833835,0.0182682842543555,0.0180771707073515,0.0180771707073515,0.0177703219679445,0.0175511442969395,0.0175511442969395,0.0175511442969395,0.00685995457818059,0.00533264176121503,0.00517163840398417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.0215891641214985,0.020406096194638,0.0202370864908007,0.0193092824916308,0.018461602322378,0.0182637229941514,0.0182637229941514,0.0182637229941514,0.0182637229941514,0.0182637229941514,0.0181798228177794,0.0181079083808891,0.0181079083808891,0.0177782606742607,0.0173492466787842,0.0172557969265034,0.0142988808821329,0.00997611870218314,0.00699247436677505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0718512023707034,0.0718512023707034,0.0718512023707034,0.0718512023707034,0.0718512023707034,0.0718512023707034,0.0718512023707034,0.0298781750362227,0.0118897347500166,0.0118897347500166,0.00720644603333132,0.00622052721677258,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00617525899229858,0.00407450583868296,0.00334696308039401,0.00298059008189519,0.000372573760236898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0336181793456469,0.0329737518557715,0.0325134465058604,0.0325134465058604,0.0325134465058604,0.0297328648336935,0.0275275008885662,0.0267955994192911,0.0267955994192911,0.0222843873953487,0.0184176342319695,0.0184176342319695,0.0184176342319695,0.0176421237884983,0.0156911232014239,0.0142087579088633,0.0121325486568598,0.0101792120199843,0.00879809911848733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00835779690491886,0.00104472461311486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0979757226449796,0.0979757226449796,0.0979757226449796,0.0979757226449796,0.0979757226449796,0.0979757226449796,0.0979757226449796,0.0350248057996112,0.0260318176788442,0.0260318176788442,0.0260318176788442,0.0260318176788442,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0251421677460839,0.0116040774212695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
