"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0104366161591534,0.0104366161591534,0.0104366161591534,0.0104366161591534,0.0104366161591534,0.0104366161591534,0.0104366161591534,0.0103955173300953,0.0103288550259987,0.00978739133951511,0.00900021699096711,0.00852058295120369,0.00623880152943112,0.00489130761624673,0.00477576285494055,0.00461319838819542,0.00397975286643238,0.00155999376929743,0.000974021993392004,0.000786065034023721,0.000339417063319547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.020052853680754,0.020052853680754,0.020052853680754,0.020052853680754,0.020052853680754,0.020052853680754,0.020052853680754,0.0186784518609517,0.0173516966175729,0.0161321033444081,0.0145549097863537,0.0133015929224927,0.012261862276202,0.0116828240585958,0.010476571022496,0.0094010093580028,0.00484473289898394,0.00211749811706629,0.0019497149850863,0.00110477147152694,0.000353787925011982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0164554704124202,0.0164554704124202,0.0164554704124202,0.0164554704124202,0.0164554704124202,0.0164554704124202,0.0164554704124202,0.0160593392427067,0.0152768153627838,0.0140764449349913,0.0126214330546679,0.0115950134180703,0.0114514249789988,0.0110549938913467,0.009370433920231,0.0068501927103487,0.00467242817581601,0.00379800231186266,0.00304338481967695,0.00205176138498748,0.000748157336765963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0163449213929279,0.0163449213929279,0.0163449213929279,0.0163449213929279,0.0163449213929279,0.0163449213929279,0.0163449213929279,0.014047183026451,0.0126540731603868,0.0121071409712616,0.00981331963537217,0.00906753537679005,0.00889029732169078,0.00877590502473458,0.00855894222634937,0.00792084543204954,0.00350762587503832,0.00122869049599979,0.000994734622411073,0.000792291719396626,0.000381685652340138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0149317648967714,0.0149317648967714,0.0149317648967714,0.0149317648967714,0.0149317648967714,0.0149317648967714,0.0149317648967714,0.014829740400072,0.0147208459626732,0.0136728282128184,0.011775595072489,0.0108936099559366,0.0105338722321676,0.0104416249346065,0.00892521382298098,0.00709979615470768,0.00504652159934874,0.00259242837095993,0.0018945061676999,0.00116424287152389,0.000507923404885385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0145821103766915,0.0138442255896629,0.00209980622311183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0184845237426716,0.0184845237426716,0.0184845237426716,0.0184845237426716,0.0184845237426716,0.0184845237426716,0.0184845237426716,0.0176173440068725,0.0171462111224068,0.0157597383311432,0.013640285738639,0.00730205842190837,0.00477880277125038,0.0043290090391418,0.00358487805411711,0.00196890147405004,0.000855353928425605,0.000477637639429984,0.000316967915840529,7.04373146312286e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
