"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000262690668106255,0.000209519618422684,0.000186732025701153,0.000170218618485978,0.000159913502934648,0.000131370733905955,0.000127293195473285,0.000127293195473285,0.000127293195473285,0.000127293195473285,7.07569783354847e-05,7.07569783354847e-05,2.09040698894751e-05,7.60147995980913e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.000492830901340838,0.000492830901340838,0.000492830901340838,0.000492830901340838,0.000492830901340838,0.000492830901340838,0.000492830901340838,0.000382127765199954,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.00035049829773113,0.000240345857660882,0.00017740160619217,0.00017740160619217,6.45096749789708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00363499731207551,0.00318366673323532,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.00299023934230381,0.000664497631623068,0.000664497631623068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.000493599934209716,0.000493599934209716,0.000493599934209716,0.000493599934209716,0.000493599934209716,0.000493599934209716,0.000493599934209716,0.000109688874268826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0913841421754555,0.0380767259064398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0.00229230682705527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
