"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.046642682665527,0.046642682665527,0.046642682665527,0.046642682665527,0.046642682665527,0.046642682665527,0.046642682665527,0.0456624409214691,0.0450043764042381,0.0430039515742481,0.0396520515220594,0.0384475529062676,0.0374620169516063,0.0365169339900671,0.0358060639598275,0.0261987060388059,0.0180094469506999,0.0169381736221656,0.0158567582207106,0.0157259013947029,0.015036739179551,0.0134874241547633,0.0119249325409138,0.0075952206191854,0.00373591886837769,0.00225015279509258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0880855970928828,0.0880855970928828,0.0880855970928828,0.0880855970928828,0.0880855970928828,0.0880855970928828,0.0880855970928828,0.087695974783615,0.086852202525508,0.0859716007648358,0.0833598589948682,0.0805635834934974,0.0785376966212764,0.0764822182597024,0.0730228597798025,0.0701334723240605,0.0672381114204767,0.065123712570648,0.0623351623901606,0.0606967495193283,0.0573271005904943,0.0533895888042398,0.0496871269332097,0.0409747104907862,0.0310100463211817,0.0217553863585818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0226654510610851,0.0226654510610851,0.0226654510610851,0.0226654510610851,0.0226654510610851,0.0226654510610851,0.0226654510610851,0.0225486710413026,0.0222697250675924,0.0212627143987297,0.0201886389949857,0.0196131899295844,0.0188125785154962,0.0184215248374427,0.0173818292337317,0.0165008660592211,0.0157231185363462,0.0140885725751575,0.012084000737996,0.0118697244640391,0.0111474263524739,0.00994641323487778,0.00904779044043422,0.00786625529396469,0.00551262694813635,0.00398153458555154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.028768507070062,0.028768507070062,0.028768507070062,0.028768507070062,0.028768507070062,0.028768507070062,0.028768507070062,0.0285770409054744,0.028494983977794,0.028494983977794,0.0283556338934349,0.0281385559592924,0.0272145970166986,0.0263495449231799,0.0263495449231799,0.0262019207559386,0.026075385755446,0.026075385755446,0.0259291709473744,0.0258242712839824,0.0120208848611065,0.00594126693137594,0.00472722917992997,0.0036715870431661,0.00337646982916753,0.00293274810361607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0790794414233216,0.0790794414233216,0.0790794414233216,0.0790794414233216,0.0790794414233216,0.0790794414233216,0.0790794414233216,0.07737252295541,0.0766490071952805,0.0764638654311281,0.0741651998986843,0.0728291232204639,0.0710659763826129,0.0694652232029074,0.0658893053633095,0.0618468170197217,0.0607177722796379,0.0597447649376378,0.0590170960934946,0.0590170960934946,0.0576906406104698,0.0551715465314034,0.0528971639042517,0.0458911820131621,0.0351237168201848,0.0269775353143107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0272306757522442,0.0272306757522442,0.0272306757522442,0.0272306757522442,0.0272306757522442,0.0272306757522442,0.0272306757522442,0.0249418814528899,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.0239609696103095,0.00299512120128869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0457986700950969,0.0414096072297853,0.0367279577599643,0.0363560576057963,0.0361969051720107,0.0344397411373333,0.0329173867005208,0.0306606954037351,0.0271037062649912,0.0246173466274937,0.0243355870452097,0.0229369323110544,0.0222896494021297,0.0211038462586148,0.0112432953120522,0.0044369989100139,0.00163632675887045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
