"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0082563943189061,0.0082563943189061,0.0082563943189061,0.0082563943189061,0.0082563943189061,0.0082563943189061,0.0082563943189061,0.00823373888028997,0.00822079291536646,0.00741696749709473,0.00670844862650146,0.00644843272452822,0.0058291514434539,0.00525785247503697,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00522893358804997,0.00497310719173918,0.00407827194658154,0.00356962758591322,0.00356962758591322,0.00292894285575883,0.00114443460798932,0.000113466463684862,8.06607232215061e-05,8.06607232215061e-05,3.36086346756276e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00962340858347032,0.00962340858347032,0.00962340858347032,0.00962340858347032,0.00962340858347032,0.00962340858347032,0.00962340858347032,0.00864622397601926,0.00803711194927657,0.00790849276173521,0.00734453620430403,0.0068720200899662,0.00651509537576236,0.00606665655667926,0.00594125202266882,0.00594125202266882,0.00504486115863212,0.00363837652449742,0.00354721229480921,0.00354721229480921,0.00354721229480921,0.00354721229480921,0.00350767407269841,0.00342828308884969,0.00339412357878862,0.00305804721994707,0.00272925393734593,0.00266486133470679,0.00254858025044307,0.0025138506429499,0.0025138506429499,0.00104743776789579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0209142164182559,0.0209142164182559,0.0209142164182559,0.0209142164182559,0.0209142164182559,0.0209142164182559,0.0209142164182559,0.0208158919218538,0.0207877992085961,0.0204289905514751,0.0199762562141472,0.0198725533142932,0.0198725533142932,0.0198725533142932,0.0198725533142932,0.0198725533142932,0.019686620705748,0.0193408317380649,0.0193142005722993,0.0193142005722993,0.0193142005722993,0.0193142005722993,0.0193142005722993,0.0185599956821625,0.0181333862695995,0.0181333862695995,0.0108046566381516,0.00457958151622303,0.00283338470058527,0.00283338470058527,0.00283338470058527,0.0011805769585772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00423334978583044,0.00201475572014663,0.00169781371076323,0.00169781371076323,0.00169781371076323,0.00169781371076323,0.000617386803913902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.0109505425439628,0.00694788433425731,0.0063760760185851,0.0063760760185851,0.00498526003921722,0.00458788404511211,0.00458788404511211,0.00458788404511211,0.00458788404511211,0.00230976634947129,0.000357094038922013,0.000357094038922013,0.000357094038922013,0.000357094038922013,0.000357094038922013,0.000107128211676604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00823662282500841,0.00183036062777965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
