"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00143096338575375,0.00143096338575375,0.00143096338575375,0.00143096338575375,0.00143096338575375,0.00143096338575375,0.00143096338575375,0.0013877901157516,0.00133483993561965,0.00120074626957948,0.000874574591878585,0.000687580391612252,0.000687580391612252,0.000687580391612252,0.000687580391612252,0.000687580391612252,0.000545925400710176,0.000424506837079824,0.000296756257225739,0.000198530034393566,8.92217333246191e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.00114123604452261,0.000966336481292847,0.000941350829402881,0.000891303347768885,0.000848405506368317,0.000848405506368317,0.000848405506368317,0.000848405506368317,0.000848405506368317,0.000795869266858451,0.000495877620542636,0.000228119087764368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.000724025521554658,0.000724025521554658,0.000724025521554658,0.000724025521554658,0.000724025521554658,0.000724025521554658,0.000724025521554658,0.000672926933868134,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000604464228236834,0.000509298616930612,0.000331021544552832,0.000247366415005029,0.000247366415005029,0.000123683207502514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.00101004372215124,0.000367288626236814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000635356209005336,0.000585870658529818,0.000543454472407945,0.000543454472407945,0.000543454472407945,0.00033947863996978,0.000222688426796235,6.6841143797895e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,0.00012455291503277,4.52919691028254e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
