"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0251850364627417,0.0244198681702906,0.0244198681702906,0.0166373241521803,0.00812016826168885,0.00779427049000657,0.00779427049000657,0.00779427049000657,0.00779427049000657,0.00698391599730817,0.0058077436542211,0.00469790528325347,0.00469026262828898,0.00469026262828898,0.00423549121978203,0.00322140741287789,0.000963043949634497,4.49399128811303e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00875381236568842,0.00875381236568842,0.00875381236568842,0.00875381236568842,0.00875381236568842,0.00875381236568842,0.00875381236568842,0.00861516376400907,0.00763383747900422,0.00725704582229786,0.00718689576720359,0.00652914367284628,0.00500728252069011,0.00431027392720075,0.0042630206035353,0.00423669311460945,0.00423669311460945,0.00387093751065755,0.00296404798598257,0.00255326331402816,0.00244722087180542,0.00244722087180542,0.00240767762438226,0.00199756622528818,0.0014966317375089,0.00140058537015722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0152808734451592,0.0148944581069331,0.0147340289713274,0.0143791579405436,0.0141244064502984,0.0141244064502984,0.0141244064502984,0.0141244064502984,0.0141244064502984,0.0141244064502984,0.0141244064502984,0.0139331923069429,0.0139058760007492,0.0137107765512504,0.0130712729426054,0.00373973641727206,0.00157861294217952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00613153902525204,0.00399335313262435,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.00185516723999665,0.000772986349998603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0157195097435091,0.0112533191241412,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00730878577858766,0.00590125552566991,0.00489587677358579,0.00265280356997324,0.000409730366360686,0.000170720985983619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.0118085406809701,0.00590427034048507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
