"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0560549258752295,0.0560549258752295,0.0560549258752295,0.0560549258752295,0.0560549258752295,0.0560549258752295,0.0560549258752295,0.0555536479674138,0.0550523700595981,0.0550334647583663,0.0540779260626225,0.0534050439846586,0.0530077271824138,0.0527239294665247,0.0527239294665247,0.0521144386981489,0.0515049479297732,0.0490957590421984,0.0466865701546237,0.0367612509283777,0.016253771344279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0117949304485024,0.0115332585320541,0.0113463500203053,0.0113463500203053,0.0110520517901537,0.010757753560002,0.010757753560002,0.0104461242875071,0.0102948789647053,0.0102732724900194,0.00509256289985665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0739031198554297,0.0739031198554297,0.0739031198554297,0.0739031198554297,0.0739031198554297,0.0739031198554297,0.0739031198554297,0.0728008623615364,0.072328466292725,0.0711202771508422,0.0703752041054774,0.0703244204129493,0.0703244204129493,0.0699877634841179,0.0697228372622857,0.0693883405395537,0.069075939995876,0.0688637756223876,0.0661052829407161,0.0572882414440632,0.0242385420840119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.0045064864876615,0.00251747823138145,0.000812614011712848,0.000406307005856424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0300087993355714,0.0300087993355714,0.0300087993355714,0.0300087993355714,0.0300087993355714,0.0300087993355714,0.0300087993355714,0.0283409183570134,0.0266730373784554,0.0266730373784554,0.0231767982197035,0.0206794845348807,0.0205364962628346,0.0204752155748149,0.0204752155748149,0.0188312113511729,0.017187207127531,0.017187207127531,0.017187207127531,0.017187207127531,0.00859360356376548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0685831955758297,0.0248568760499817,0.0123636418997395,0.0123636418997395,0.00570629626141821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00106922306721302,0.00106922306721302,0.00106922306721302,0.00106922306721302,0.00106922306721302,0.00106922306721302,0.00106922306721302,0.000445509611338757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
