"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00446573347842198,0.00446573347842198,0.00446573347842198,0.00446573347842198,0.00446573347842198,0.00446573347842198,0.00446573347842198,0.00445944419986816,0.00443170440444102,0.00440575073353609,0.00429204847843099,0.00290278341711222,0.0022047850859878,0.00213127879328749,0.00211376682645965,0.00210125177445645,0.00210125177445645,0.00200269424156462,0.00183953751490889,0.00179446860530388,0.0013167926313931,0.000914359815575197,0.000914359815575197,0.000914359815575197,0.000859376690546165,0.000837800794802566,0.000824916802179041,0.000821235661429463,0.000821235661429463,0.000807989708479696,0.000796636034522753,0.000321626234086843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00918096305774254,0.00918096305774254,0.00918096305774254,0.00918096305774254,0.00918096305774254,0.00918096305774254,0.00918096305774254,0.00904965642784247,0.00894150840569953,0.00888278845703943,0.00874286330092261,0.00833162358676294,0.00811171575763628,0.00807319914228887,0.00807319914228887,0.00755285372766956,0.00725051970956336,0.00720887215690575,0.00321996665216272,0.0018293902628922,0.00133458564857859,0.00131083335676452,0.00104170130189364,0.000848058244307694,0.000820394950366844,0.000808154985746697,0.000785354290656772,0.000728723852326769,0.000679013892822276,0.000480660688629359,0.00042798892287469,0.000175310051741681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00364556137725592,0.00296144241359952,0.00249209355647801,0.00234421096187209,0.00228400547020958,0.00220192357608164,0.00216674562145537,0.00216674562145537,0.00216674562145537,0.0013982383485436,0.00073951782890493,0.00073951782890493,0.00073951782890493,0.00073951782890493,0.000456555916972456,0.000436338595331081,0.000436338595331081,0.000436338595331081,0.000436338595331081,0.000436338595331081,0.000337179798135798,0.000323014255679329,0.000323014255679329,0.000323014255679329,0.00011754138124219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00593363523112854,0.00593363523112854,0.00593363523112854,0.00593363523112854,0.00593363523112854,0.00593363523112854,0.00593363523112854,0.00569601084979947,0.00566206450960961,0.00566206450960961,0.00485250458630672,0.00415859608061852,0.00415859608061852,0.00415859608061852,0.00415859608061852,0.00415859608061852,0.00409098087341254,0.0040813215580974,0.0040813215580974,0.0040813215580974,0.0040813215580974,0.0040813215580974,0.0040813215580974,0.00188368687296803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.015318585292202,0.015318585292202,0.015318585292202,0.015318585292202,0.015318585292202,0.015318585292202,0.015318585292202,0.015240522378163,0.0151959149987122,0.0117815895424573,0.00882348796381779,0.00867867655710124,0.00709886563053856,0.0067818908048088,0.0067818908048088,0.0067818908048088,0.00625866772070818,0.00561114523862347,0.00561114523862347,0.00536857121421285,0.00506266433987256,0.00505422312806417,0.00504939957845937,0.00504939957845937,0.00469353946142702,0.00454102798269887,0.00414482581224819,0.00391842457199067,0.00391842457199067,0.00312472155973113,0.00278456312590562,0.00116023463579401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00258706387772754,0.00171908793617865,0.00109910512078659,0.00109910512078659,0.00109910512078659,0.00109910512078659,0.00109910512078659,0.000682996213152346,0.000385775564842173,0.000385775564842173,0.000385775564842173,0.000371823878215365,0.000359865289678102,0.000359865289678102,0.000359865289678102,0.000359865289678102,0.000359865289678102,0.000359865289678102,0.000359865289678102,0.000332139381484635,0.000310655806413208,0.000309936082870392,6.88746850823093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
