"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00629267363585976,0.00629267363585976,0.00629267363585976,0.00629267363585976,0.00629267363585976,0.00629267363585976,0.00629267363585976,0.00629171500858945,0.00629157806183655,0.0061584939061411,0.00609707609856271,0.00596012173292109,0.00571001333865365,0.00556056775926787,0.00521514279335842,0.00506400073560618,0.00493665017928386,0.00467135658537312,0.004424322676584,0.00391186853495261,0.00172216835749259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165859311874926,0.0165337339554478,0.0164040828056271,0.0161834000587415,0.0161689477181802,0.0160424892960023,0.0160214277591375,0.0159584402172537,0.015598185950794,0.0145745251161912,0.00886778443254963,0.00534149350483726,0.00230870481341167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0158450320131688,0.0158450320131688,0.0158450320131688,0.0158450320131688,0.0158450320131688,0.0158450320131688,0.0158450320131688,0.0157169881069729,0.0156986961203735,0.0154864209786748,0.0142107064329714,0.0132112006323182,0.0131257420144246,0.012914463511519,0.0128520016173165,0.0124384937029401,0.0119978880138262,0.0105991819471671,0.00978601469909242,0.00843281610913811,0.00382608891330939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0224572925412189,0.0210753225801859,0.020501919795417,0.0202847660526833,0.020222722126188,0.00814977771619231,0.00447790795267315,0.00206198868345891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0110380393169808,0.0109583810891264,0.0109470013422901,0.0108361822497387,0.010772857053995,0.010772857053995,0.010772857053995,0.010772857053995,0.010772857053995,0.0101336194372177,0.00911947749192598,0.00659916439592746,0.00246419118796946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0127587438877275,0.0052093404964071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000440174345859001,0.000355808948859647,0.000271443551860292,0.000271443551860292,0.000271443551860292,8.14330655580877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
