"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00587871164947586,0.00587871164947586,0.00587871164947586,0.00587871164947586,0.00587871164947586,0.00587871164947586,0.00587871164947586,0.0058212181119208,0.00543227592664113,0.00467605108685347,0.00405506799676625,0.00387132348199148,0.00385396062390093,0.00384831346269772,0.003795465942713,0.00367366368321166,0.00363222848205787,0.00362707503667823,0.00359603348512499,0.00356568814790857,0.00339937422854424,0.00327710746841665,0.00327710746841665,0.00325605875555901,0.00325605875555901,0.00315864526896038,0.00298310767918162,0.00287831360477666,0.00245978905805497,0.000267429538649789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00189561176040628,0.00189561176040628,0.00189561176040628,0.00189561176040628,0.00189561176040628,0.00189561176040628,0.00189561176040628,0.00166233927242771,0.00148743386680772,0.00135034945032372,0.00117500145030152,0.00109870216817786,0.00107785486195644,0.00103190241838603,0.000966188845055547,0.000933976474281645,0.000909893681732224,0.000878816472681434,0.000834883567104865,0.000722191346810891,0.000619528013273606,0.000603895510015275,0.000597883496828557,0.000556735411528007,0.000535275408936164,0.000458172172048343,0.000425127927667848,0.000416259152854559,0.000389041453997664,0.000374056810366473,0.000369524064456903,0.000148791428553072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00235393088432805,0.00235393088432805,0.00235393088432805,0.00235393088432805,0.00235393088432805,0.00235393088432805,0.00235393088432805,0.00231424901676612,0.00217946985224335,0.00210143757700417,0.00207650259857583,0.00206837221753348,0.00157010039274711,0.00135655532498152,0.00133829514661349,0.00132525216206489,0.00132525216206489,0.00108722072365292,0.000951202758846084,0.000951202758846084,0.000895510796080072,0.000839818833314061,0.000839818833314061,0.000663354372730451,0.000663354372730451,0.000663354372730451,0.000623153241242348,0.000617410222458334,0.000343220826308741,6.90314301591481e-05,6.90314301591481e-05,2.70143524024423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00388786971914373,0.00388786971914373,0.00388786971914373,0.00388786971914373,0.00388786971914373,0.00388786971914373,0.00388786971914373,0.00385349124793332,0.00346876668363226,0.00333549716976065,0.00247138043691057,0.00186516112535837,0.00176567152084238,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00172303311890696,0.00109106899744056,0.000820227231097818,0.000465044296585258,0.000130991767170956,7.29231246054544e-05,7.29231246054544e-05,7.29231246054544e-05,7.29231246054544e-05,9.1153905756818e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0100242979676763,0.0100242979676763,0.0100242979676763,0.0100242979676763,0.0100242979676763,0.0100242979676763,0.0100242979676763,0.00902987639020845,0.00802919039193753,0.00784035457005562,0.00770352917504391,0.00758223810447071,0.00613984855477186,0.004468915934338,0.0038013206906516,0.00358561086197558,0.00333623983961031,0.00313562300962059,0.0030955401157977,0.00255265904717072,0.00159646684914922,0.00121495347534136,0.00118069231658373,0.00059178089155285,0.000163642062409382,0.000108672321674342,8.35958356840085e-05,8.35958356840085e-05,6.56988050521609e-05,6.31420863904684e-05,6.31420863904684e-05,2.63092026626952e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00733921460092333,0.00266880530942666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00657835988620704,0.00657835988620704,0.00657835988620704,0.00657835988620704,0.00657835988620704,0.00657835988620704,0.00657835988620704,0.00657416884789388,0.00652901859856555,0.00562595271586214,0.00525500218533814,0.00508021259984635,0.00508021259984635,0.00508021259984635,0.00503072036507568,0.00493441648865882,0.0048737945029954,0.00486348204031691,0.00470961505569401,0.00463715841171088,0.00463619329314972,0.00463619329314972,0.00463162136318519,0.00430939259324798,0.00417297403346595,0.00416482504050107,0.0019206150530514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
