"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00888586706222222,0.00871095771988244,0.00863725780806318,0.00854794159258984,0.00829786520090229,0.00813702541620413,0.00777679297566484,0.00742574108157038,0.00702960697056844,0.00693740349124308,0.00676304019170949,0.00656768271750096,0.00652630595213083,0.00627913900040186,0.00518853245100132,0.0041957328474763,0.00381350957222716,0.00247347539520231,0.00133122125501502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0321999620746672,0.0321999620746672,0.0321999620746672,0.0321999620746672,0.0321999620746672,0.0321999620746672,0.0321999620746672,0.0320707595561141,0.0320276252767531,0.0316456753765454,0.0310493709297193,0.0307800074810075,0.0302948123923042,0.0298750872725573,0.0298473177179668,0.0297248581819294,0.0296755676441883,0.029672800217493,0.029672800217493,0.0294786941002914,0.0287592228616244,0.0278571424288122,0.0268445627492776,0.0212417294505856,0.00955039961063128,0.00136894407535411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0164977654932071,0.0164977654932071,0.0164977654932071,0.0164977654932071,0.0164977654932071,0.0164977654932071,0.0164977654932071,0.0163222851307526,0.0162972165075448,0.0162972165075448,0.014887123023583,0.0137470314254987,0.0132312949360489,0.0128481482441642,0.0128232096813508,0.0125405487554295,0.0120429469763965,0.011615179874415,0.0114463045796324,0.0114202372414025,0.00867030486070404,0.00813637559625469,0.00792973256452567,0.00701672459144503,0.00570949151671067,0.00459197347990208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0302467612436668,0.0294938378354346,0.0290635958878733,0.0290635958878733,0.0284299882816202,0.0283394729092983,0.0281190352174843,0.0281190352174843,0.0281190352174843,0.0281190352174843,0.0281190352174843,0.0132240992972545,0.00494123723570696,0.00131029849911446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00858556253486419,0.00858556253486419,0.00858556253486419,0.00858556253486419,0.00858556253486419,0.00858556253486419,0.00858556253486419,0.00818890637907401,0.00813224121396113,0.00813224121396113,0.00706641768375244,0.00672967969909763,0.00672967969909763,0.00672967969909763,0.0064794121960628,0.00630064969389506,0.00604733155913139,0.00601114325416515,0.00601114325416515,0.00601114325416515,0.00548512619605326,0.00510939972597334,0.0049759519743092,0.0041282486397278,0.00339449733818988,0.00225472750697544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00484664529334613,0.00444919378298129,0.00427885742139636,0.00427885742139636,0.00427885742139636,0.00427885742139636,0.00427885742139636,0.00213942871069818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
