"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00970136157909923,0.00959154366687295,0.00509495795174073,0.00263529630041635,0.00263529630041635,0.00263529630041635,0.00240081067476008,0.00235875038332314,0.00213114882796761,0.00197120296649496,0.00181072584025399,0.00148177107714915,0.00113971430300992,0.00106371149406124,0.000572420189978102,0.000391103200736578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00513103149123156,0.00513103149123156,0.00513103149123156,0.00513103149123156,0.00513103149123156,0.00513103149123156,0.00513103149123156,0.00506129428484887,0.00502144445263019,0.00502144445263019,0.00498924754977191,0.00490202120254056,0.00474291039288963,0.00467159938461732,0.00462358858424197,0.00458929515540243,0.00455872402232257,0.00454125480341979,0.00331350885436395,0.00261871880699636,0.00173258688563222,0.00135281606219045,0.00135281606219045,0.00126530850890527,0.00118527357450999,0.00118527357450999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00111154031481031,0.00111154031481031,0.00111154031481031,0.00111154031481031,0.00111154031481031,0.00111154031481031,0.00111154031481031,0.00106668015314973,0.00104104577505797,0.00104104577505797,0.00104104577505797,0.00104104577505797,0.000883551489420411,0.000804769983377674,0.000804769983377674,0.000804769983377674,0.000804769983377674,0.000804769983377674,0.000804769983377674,0.000804769983377674,0.000639033564606254,0.000568003670847074,0.000568003670847074,0.000568003670847074,0.000568003670847074,0.000568003670847074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.00208972998259792,0.000626918994779377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00384714105702189,0.00294660944568322,0.00268931469958646,0.00268931469958646,0.00268931469958646,0.0020456414080421,0.00176978142595167,0.00160614112793291,0.00137141667580961,0.00134790340497682,0.00134790340497682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00690117830241685,0.00345058915120843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
