"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0438425552049079,0.0433086792328919,0.0429273392528804,0.0424586295215439,0.0421907953893515,0.0421907953893515,0.0421907953893515,0.0421907953893515,0.0421907953893515,0.0421907953893515,0.0397983192433641,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0394565369367945,0.0289453400226955,0.0244405413452245,0.0244405413452245,0.0244405413452245,0.0244405413452245,0.0101835588938435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0104705374813387,0.0104705374813387,0.0104705374813387,0.0104705374813387,0.0104705374813387,0.0104705374813387,0.0104705374813387,0.0072194815521909,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00558226115470489,0.00541615587356757,0.00517721425354371,0.00210724592635941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0103432135817217,0.0100614651752572,0.00981996654114485,0.00981996654114485,0.00976820059947859,0.00972382979233608,0.00951355158695517,0.00936335286882594,0.00936335286882594,0.00936335286882594,0.00936335286882594,0.00936335286882594,0.00936335286882594,0.0093077299578742,0.0064928687078397,0.00570116626776886,0.00494994564523697,0.00462799394986616,0.00462799394986616,0.00462799394986616,0.00462799394986616,0.00192833081244424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.00269166362064011,0.000838685322079874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00572699098136219,0.00489640104251819,0.00430312251477247,0.00304064900474551,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.00233556383727953,0.000973151598866471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.015495479706187,0.00715175986439401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
