"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0144194565403579,0.0133630352434547,0.0124264661702961,0.00968754712889274,0.00835123995381501,0.00787693633582126,0.00641233445159301,0.0056926751955457,0.0055830535404024,0.00548026111138878,0.0049499874231253,0.00463579310117085,0.00142484650924605,1.30117183124371e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.00407388021464841,0.00387952128009466,0.0033294913551489,0.00301945170071443,0.00264522782215915,0.00176942926819258,0.0010282152711319,0.000736313273272418,0.000408807001380106,0.000307988204161595,0.000163175941674538,2.4719256882702e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0142687075059834,0.0138623967300154,0.0119618102397053,0.0108990852709468,0.0100093806979791,0.00650724171879628,0.00375708902496033,0.00204959988510415,0.00121894633639017,0.00112856068244257,0.00112210201052009,0.000682707303267577,0.000494395285873642,0.000494395285873642,0.000210540287752572,4.1025298015701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.00919882407518492,0.00739246920279431,0.00739246920279431,0.00538347945807132,0.00435269314283348,0.00226641498701535,0.00162437094470729,0.00134645567079457,0.00114794476085692,0.00114794476085692,0.000595256876641435,0.000200479816487519,0.000200479816487519,6.01439449462558e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0134680571534475,0.0127725330533274,0.011727433398509,0.0113058287857292,0.0110826883834577,0.0101831197104422,0.00471784405632312,0.00264391185415216,0.00239188210504383,0.00221135598701044,0.00217735846712329,0.000908580809678103,0.000545138558090605,0.000545138558090605,0.000545138558090605,0.00044511239552776,5.02805050179605e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00420444426336026,0.00356018859303992,0.00356018859303992,0.00198184682862813,0.000854459854048287,0.000854459854048287,0.000854459854048287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0435471436706665,0.0414878986171115,0.0270184489783466,0.0065329425321147,0.00515903748966566,0.00329568501526948,0.00142425874386364,0.00100611698994757,0.00100611698994757,0.00100611698994757,0.00100611698994757,0.000622200763384785,0.00034797488726851,0.00034797488726851,4.34968609085637e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
