"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0157152755453299,0.0157152755453299,0.0157152755453299,0.0157152755453299,0.0157152755453299,0.0157152755453299,0.0157152755453299,0.0135655901957485,0.0104943910461028,0.00837204192521195,0.00770696331680104,0.00629818291866116,0.00595421981886285,0.00545300165907002,0.00534422184566769,0.0022640105368784,3.97005226305558e-05,8.44671762656613e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00524949668667467,0.00524949668667467,0.00524949668667467,0.00524949668667467,0.00524949668667467,0.00524949668667467,0.00524949668667467,0.00407161589728373,0.00300032698956234,0.00252206257665732,0.00157829115678648,0.000566244352067315,0.000256861616487924,0.000123424870201189,2.38765402046973e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0139938501347759,0.0139938501347759,0.0139938501347759,0.0139938501347759,0.0139938501347759,0.0139938501347759,0.0139938501347759,0.0129010152865727,0.0103293837685705,0.00885292951766088,0.00583486779827308,0.00189206244423603,0.00102385043644443,0.00101192918858104,0.000588103346939916,0.000467010249328166,0.000467010249328166,0.000467010249328166,0.000467010249328166,0.000187803241837315,6.81430957698069e-05,6.81430957698069e-05,2.04429287309421e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.014279362870967,0.014279362870967,0.014279362870967,0.014279362870967,0.014279362870967,0.014279362870967,0.014279362870967,0.00997351302033617,0.00553167941936385,0.00382612334282809,0.00202030351491027,0.00109559258750107,0.00095506575993613,0.00042325028532321,0.000195329367631959,0.000195329367631959,0.000195329367631959,5.85988102895877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0128499859049872,0.0128499859049872,0.0128499859049872,0.0128499859049872,0.0128499859049872,0.0128499859049872,0.0128499859049872,0.0108000184675668,0.00900353277655562,0.00846568984142229,0.00766857887185079,0.00276390193986757,0.00194042351977265,0.00192119965652238,0.000697807714679844,0.000522091604126497,0.000522091604126497,0.000522091604126497,0.000522091604126497,0.000522091604126497,0.000522091604126497,0.000422728351916174,0.000351754600337372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00337152738392448,0.00265499674479814,0.00234791218517257,0.00234791218517257,0.000812684078022515,0.000812684078022515,0.000812684078022515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0422955931721335,0.0422955931721335,0.0422955931721335,0.0422955931721335,0.0422955931721335,0.0422955931721335,0.0422955931721335,0.0395583362314163,0.0177534827217263,0.00498821272904379,0.00333054894704602,0.00128827711531293,0.000958807844089236,0.000958807844089236,0.000958807844089236,0.000958807844089236,0.000587887115730473,0.000481909764770826,0.000481909764770826,0.000481909764770826,0.000481909764770826,0.000175239914462119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
