"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00414966503836644,0.00414966503836644,0.00414966503836644,0.00414966503836644,0.00414966503836644,0.00414966503836644,0.00414966503836644,0.00412417091212613,0.00409055138440537,0.00400477990166063,0.00323481934707353,0.00280779499641295,0.00276256335239263,0.00272341696341551,0.00270530337366107,0.00267368807476482,0.00260395929660007,0.00256831789503321,0.00255539753999914,0.00255036923951159,0.00252654971801032,0.00252077032421149,0.00247406630724612,0.00233366295660275,0.00194789776407393,0.00057889162079854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0164228394254715,0.0163863104103313,0.0163606291681676,0.0149157918285304,0.0140901704915949,0.0126723876823751,0.0049493955314498,0.00382721253580644,0.00380541178534527,0.00380541178534527,0.00375670099546784,0.00343079276345407,0.00338602477340394,0.00337991879532164,0.0033764296649889,0.00336008732854386,0.00326600560982453,0.00227321429224249,0.000891451002775784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113348811350896,0.0113025221974315,0.0112060438366201,0.0110256463727554,0.0108368698561914,0.0105982993829142,0.0103987508929728,0.0102713016789524,0.0100879107539546,0.0100218001206022,0.00973233443312699,0.00655753909237472,0.00464674473615073,0.00359352541676261,0.00312895104078991,0.002795660843175,0.00168015058879254,0.000910577643342422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.00144237985705857,0.0011001675948515,0.000757955332644425,0.000227386599793328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00179006374893829,0.00166725315408183,0.00166725315408183,0.00166725315408183,0.00166725315408183,0.00166725315408183,0.00141140750837327,0.00119211124062308,0.00119211124062308,0.00119211124062308,0.000594602044705536,0.000192803121926635,6.79772235048033e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00816588278855593,0.00816588278855593,0.00816588278855593,0.00816588278855593,0.00816588278855593,0.00816588278855593,0.00816588278855593,0.00802268298406813,0.00789994029450716,0.00789994029450716,0.00718829618158949,0.00678164240277939,0.00678164240277939,0.00678164240277939,0.00678164240277939,0.00678164240277939,0.00294416535300605,0.000751321324564135,0.000751321324564135,0.000751321324564135,0.000751321324564135,0.000545208615971062,0.000383138832316411,0.000191569416158205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
