"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00406353773644755,0.00406353773644755,0.00406353773644755,0.00406353773644755,0.00406353773644755,0.00406353773644755,0.00406353773644755,0.00398649298466728,0.00378866007757777,0.00319263302313894,0.00308351442187265,0.0030249331830869,0.00291443204940954,0.00283797526597894,0.00282046227911306,0.00281561067077952,0.00279334837503822,0.00271874120302626,0.0022859020732999,0.00180982903368783,0.000392531386965705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0160998589651871,0.0160998589651871,0.0160998589651871,0.0160998589651871,0.0160998589651871,0.0160998589651871,0.0160998589651871,0.0160637320458228,0.016057382474774,0.0148742955603919,0.0135412203146411,0.00647233100848033,0.00364802885905858,0.00360083645593514,0.00326347496102268,0.00313356880428359,0.0031276900235877,0.00311035538820277,0.00302251612972145,0.00208948817555737,0.000738171967773751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0115369127938645,0.0114535235831184,0.0113330408428117,0.0111413499090126,0.0107579539720266,0.0103396563280807,0.0101453258139835,0.00986090278748459,0.00675135276342043,0.0043860900185132,0.00363358435562759,0.0031192194735352,0.0021153468239417,0.000825420740262412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.00117231968426392,0.000841725478189503,0.00051113127211509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00247468799641247,0.00236377710015819,0.00228455503140513,0.00228455503140513,0.00228455503140513,0.00203778685948002,0.00186152387953352,0.00128971920880784,0.000543758863557757,0.000222500589553079,6.51919686385957e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00533552865669762,0.00470089000375211,0.00470089000375211,0.00470089000375211,0.00470089000375211,0.00105425228026678,0.000533304034054586,0.000533304034054586,0.000437298137858946,0.000258409292258674,0.000230809841563651,5.12910759030335e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
