"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00212439416958187,0.00212439416958187,0.00212439416958187,0.00212439416958187,0.00212439416958187,0.00212439416958187,0.00212439416958187,0.00195736476091352,0.00167282183837138,0.00103439809528778,0.000896543599462434,0.000818166028962956,0.000731956343902211,0.000698231108065703,0.000693259833318619,0.000693259833318619,0.000688386643906669,0.0006686974463224,0.000665884703810361,0.000665884703810361,0.000665884703810361,0.000619533915359479,0.000598091297514929,0.000566890624109337,0.000470353476657542,0.000459362140615493,0.00011631576198372,0,45.5953416050771,30.5426606743528,10.8291956945448,7.3194199178336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.0107799740758289,0.010740544215682,0.00955466972767738,0.00815110001276422,0.0014993502079751,0.00143959261073372,0.00140569088301602,0.00109879551437847,0.00109879551437847,0.00109879551437847,0.00109283479195436,0.00108772560130511,0.00108772560130511,0.00108772560130511,0.00108772560130511,0.00107146269391813,0.00105499819008316,0.00104558990217746,0.000978862469614638,0.000952444828668566,15.7359418470227,0,0,24.7604604488374,11.7412202005025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0104141138652304,0.0104141138652304,0.0104141138652304,0.0104141138652304,0.0104141138652304,0.0104141138652304,0.0104141138652304,0.0103168631396674,0.0102046815478395,0.0100111582099265,0.00972134342713181,0.00933873052387547,0.00904138985747313,0.00898162892313314,0.00898162892313314,0.00627307873348901,0.00342352429927813,0.00319287111080031,0.00309903061722189,0.00211050677495082,0.00165332976865951,0.00161224378075935,0.00161224378075935,0.00146655893355909,0.00129302711515674,0.00111779182095892,0.000795372062542372,3.58843230175421,0.80829492355402,0.5773535168243,7.82682882351455,4.4223578450601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000995172456924376,0.000664404198404444,0.000664404198404444,0.00014764537742321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00193293598746731,0.00193293598746731,0.00193293598746731,0.00193293598746731,0.00193293598746731,0.00193293598746731,0.00193293598746731,0.00156988329601767,0.00146615395560349,0.00146615395560349,0.00146615395560349,0.00136011922640216,0.0013298235894875,0.0013298235894875,0.0013298235894875,0.0013298235894875,0.00108168011914386,0.00101078198475996,0.00101078198475996,0.00101078198475996,0.00101078198475996,0.00101078198475996,0.000878303145761625,0.000299803022592867,0.00023338204650733,0.00023338204650733,2.91727558134163e-05,0.799363286404649,0.228389510401328,0,0.41097505493792,0.293553610669943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00595346751223329,0.00595346751223329,0.00595346751223329,0.00595346751223329,0.00595346751223329,0.00595346751223329,0.00595346751223329,0.00581166529374214,0.00571037799481988,0.00507117177235307,0.00497985659771496,0.00497985659771496,0.00497985659771496,0.00132864785108493,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000285445352047774,0.000180961261860211,0.000106329768869095,0,0,0,0,0,2.13897737463928,0.611136392754079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
