"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00886465624846563,0.00886465624846563,0.00886465624846563,0.00886465624846563,0.00886465624846563,0.00886465624846563,0.00886465624846563,0.0088590624920374,0.00822360376429397,0.00775901374499602,0.0074269320474978,0.00653653353599147,0.00466515514285407,0.00381643710817491,0.00344743336370173,0.0034362532349652,0.00226671241753391,0.00137503138909244,0.00106965545636519,0.000977064944150453,0.00042849557369428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.0010368508914709,0.00102743908425276,0.000940235778014036,0.000841691138609145,0.000827360131135375,0.000467384521917726,0.000334760665780532,0.000334760665780532,0.000334760665780532,0.000303090861918374,0.000167037304363962,7.70090835777412e-05,5.46707085815077e-05,2.18817326984466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00453336800168627,0.00449030981377624,0.00449030981377624,0.00440385544752633,0.00434558202743855,0.00426845855323464,0.00422698706279226,0.00422698706279226,0.00351008061365844,0.00156449526156309,0.00112873141292172,0.000583736382863378,0.000300001551300662,0.000125000646375276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0291024921650174,0.0264316459976389,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0260500965451562,0.0248520118488068,0.0185424179733788,0.00653343319640298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00297771091001204,0.00289836101422585,0.00285301821663374,0.00266164397557981,0.00263430479828639,0.00263430479828639,0.00263430479828639,0.00222814062615979,0.00197258870308599,0.00197258870308599,0.00197258870308599,0.000621708409754296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.0004153526385234,0.000191701217780031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.0229364603650457,0.022554497579112,0.0222423752062332,0.02205984229528,0.0208818293217696,0.0200062097280324,0.0200062097280324,0.0200062097280324,0.0200062097280324,0.00993629355356116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
