"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00964546182363054,0.00964546182363054,0.00964546182363054,0.00964546182363054,0.00964546182363054,0.00964546182363054,0.00964546182363054,0.0094735390435814,0.00873527065391602,0.00812964924874255,0.00764447775029716,0.0054979021623516,0.00388299326923749,0.00351867538732451,0.00350304945200012,0.00349635262257538,0.00349635262257538,0.00328915086306411,0.00286926859068336,0.0021591586417303,0.00175235079479406,0.00154757695065064,0.00137500191111095,0.00118192426235457,0.00102470162846499,0.00102015152314861,0.00102015152314861,0.00100928276507457,0.000974704826806809,0.000863700468851006,0.000801367923367267,0.000321104207353036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00131828686381955,0.00131828686381955,0.00131828686381955,0.00131828686381955,0.00131828686381955,0.00131828686381955,0.00131828686381955,0.00127101029077352,0.00123946031531482,0.00115226156319488,0.00106718075965474,0.000716349947328795,0.000396710482941049,0.000396710482941049,0.000396710482941049,0.000396710482941049,0.000396710482941049,0.00038607748993011,0.000381520492925422,0.000370702702464908,0.0002566923866338,0.000166281703640868,0.000150838242592371,0.000150838242592371,9.11964641650403e-05,5.42833053932295e-05,5.10397635107527e-05,5.10397635107527e-05,5.10397635107527e-05,5.10397635107527e-05,3.9232964152195e-05,1.36563432731376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00481100891794305,0.00481100891794305,0.00481100891794305,0.00481100891794305,0.00481100891794305,0.00481100891794305,0.00481100891794305,0.00473115615133693,0.0046635685977158,0.00461773572627805,0.00452209658411105,0.00448215068195836,0.00441337180125973,0.00441337180125973,0.00441337180125973,0.00441337180125973,0.00395826030501643,0.00228573084909726,0.00143689561204614,0.00132628789531137,0.00121488018642913,0.00120371745923796,0.00107769415451098,0.000907261275752307,0.000849821109662942,0.000445813950602659,0.00027266802529111,0.00027266802529111,0.00027266802529111,0.00027266802529111,0.00027266802529111,8.18004075873329e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0300279806277222,0.0300279806277222,0.0300279806277222,0.0300279806277222,0.0300279806277222,0.0300279806277222,0.0300279806277222,0.0299827351554366,0.0299568805998448,0.0272839880232939,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0269021462266437,0.0256416297524081,0.0251014084063071,0.0251014084063071,0.0251014084063071,0.0186725455966336,0.0122436827869601,0.0122436827869601,0.00471975267973951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00325517248496878,0.00325517248496878,0.00325517248496878,0.00325517248496878,0.00325517248496878,0.00325517248496878,0.00325517248496878,0.00320018651832514,0.00318447624214124,0.00318447624214124,0.0031072708147614,0.00290303956210911,0.00277291630559825,0.00277291630559825,0.00277291630559825,0.00277291630559825,0.00277291630559825,0.00264185767800756,0.0026044123558388,0.00232114013881101,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.00215927030050942,0.0020872025740505,0.000749292907614409,8.43237121956504e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000520565738909521,0.000240261110265933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0228509123227235,0.0228509123227235,0.0228509123227235,0.0228509123227235,0.0228509123227235,0.0228509123227235,0.0228509123227235,0.021216559772686,0.0204333344349598,0.0204333344349598,0.0200543694065032,0.0197988434652786,0.019617296622615,0.0194876203064267,0.0184567517715497,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.0180149509708882,0.017660054119747,0.00642183786172616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
