"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0153855557325998,0.0144194565403579,0.0139069386125411,0.012516933637077,0.0104002249111449,0.00946836572547834,0.00800420146608383,0.00659168735723937,0.00632594874419897,0.0056224981400714,0.00551200849405416,0.00497113252448454,0.00493169818622931,0.00143268475363004,0.0013944858331837,1.30117183124371e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.0043003979076665,0.00407388021464841,0.0040221812572649,0.00335907588333566,0.00312504477264599,0.0027300061769487,0.00195087698834277,0.00128612114416444,0.00091055928417161,0.000526462988340395,0.000367945428427887,0.000184910279654965,0.00012858396963339,2.4719256882702e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0144629343551806,0.0142687075059834,0.0139547128563161,0.0122300310501052,0.011215204632227,0.0103351194674839,0.00685490113878542,0.0058190704171837,0.00238526370450436,0.00204959988510415,0.00112856068244257,0.00112856068244257,0.000682707303267577,0.000682707303267577,0.000494395285873642,0.000210540287752572,0.000162677440067588,4.1025298015701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.013413652110763,0.00919882407518492,0.00919882407518492,0.0073924692027943,0.00538347945807132,0.00507976727568883,0.00252673971477177,0.00226641498701535,0.00134645567079457,0.00134645567079457,0.00114794476085692,0.000595256876641435,0.000595256876641435,0.000200479816487519,6.01439449462558e-05,6.01439449462558e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0139739801866948,0.0134680571534475,0.0131550637909053,0.0118064533392074,0.01150706421474,0.0112194064263615,0.0102078118131187,0.00522271767648732,0.00471784405632312,0.00239188210504383,0.00234428557720181,0.00221135598701044,0.000908580809678103,0.000908580809678103,0.000545138558090605,0.000545138558090605,0.00044511239552776,9.31488604020367e-05,5.02805050179605e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00495607587873399,0.00420444426336026,0.00420444426336026,0.00356018859303992,0.00198184682862813,0.00198184682862813,0.000854459854048287,0.000854459854048287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0457509084138538,0.0435471436706665,0.0435471436706665,0.0270184489783466,0.0189353279367703,0.00632208885274054,0.00338605087785841,0.00233638008449764,0.00142425874386364,0.00100611698994757,0.00100611698994757,0.00100611698994757,0.000622200763384785,0.000622200763384785,0.00034797488726851,4.34968609085637e-05,4.34968609085637e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
