"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0118262566441641,0.0118262566441641,0.0118262566441641,0.0118262566441641,0.0118262566441641,0.0118262566441641,0.0118262566441641,0.0116212429251461,0.0101613207324843,0.00919929492020455,0.00803993274515409,0.00637756119952428,0.0061472727755111,0.0050578224469768,0.00493851974855204,0.00137089793411364,0.00132913679141944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00347208218774423,0.00347208218774423,0.00347208218774423,0.00347208218774423,0.00347208218774423,0.00347208218774423,0.00347208218774423,0.00300902781003493,0.00292539609330346,0.00249972101792537,0.00174856745013629,0.0012173810549714,0.000517237798698613,0.000270103472586098,4.50092476215084e-05,4.09139244191925e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0105805890243582,0.0105805890243582,0.0105805890243582,0.0105805890243582,0.0105805890243582,0.0105805890243582,0.0105805890243582,0.00914047372277385,0.00867813945359747,0.0075437462745228,0.00668001556452416,0.00351317613298212,0.00197629213733772,0.00128871630815253,0.000788934429914723,0.000788934429914723,0.000273392922276966,0.000227561093180375,3.27370207832795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00626756512575341,0.00491058764545538,0.00461824101908447,0.00230260223751213,0.00179119240236731,0.00084865471938397,0.000726402654352464,0.000154494280632558,0.000154494280632558,1.93117850790697e-05,1.93117850790697e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0118162830608527,0.0118162830608527,0.0118162830608527,0.0118162830608527,0.0118162830608527,0.0118162830608527,0.0118162830608527,0.0109878037552321,0.0109359038581653,0.0102104784520838,0.0100328390239695,0.00501139397406695,0.00467569111334461,0.00267429440332581,0.00136246099595619,0.00135586624097909,0.000762437452850029,0.000329771656919943,0.000329771656919943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.0038611088616318,0.0038611088616318,0.00232748202783039,0.00232748202783039,0.00079385519402897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.032979996078264,0.032979996078264,0.032979996078264,0.032979996078264,0.032979996078264,0.032979996078264,0.032979996078264,0.032979996078264,0.0133127104094171,0.0131256428552288,0.00394222247192202,0.00286462891003607,0.00168390752820003,0.00108015255336513,0.000717503062127772,0.000717503062127772,0.000121998192320153,0.000121998192320153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
