"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.371427912825541,0.371427912825541,0.371427912825541,0.371427912825541,0.371427912825541,0.371427912825541,0.371427912825541,0.347377519882822,0.332639366006212,0.329348194115027,0.326527189636868,0.315558486128584,0.310857613196462,0.310857613196462,0.310857613196462,0.310857613196462,0.294871519647934,0.278885426099406,0.278885426099406,0.278885426099406,0.278885426099406,0.278885426099406,0.0738530091260174,0.0445626638441048,0.0445626638441048,0.0133687991532314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.445885909114668,0.445885909114668,0.445885909114668,0.445885909114668,0.445885909114668,0.445885909114668,0.445885909114668,0.441407612796952,0.426268388643209,0.421586521186546,0.413852483283347,0.386592735151168,0.375901555925111,0.370535037679764,0.36951762560409,0.343036213705389,0.317839883427769,0.299665205142664,0.262728293908887,0.231524232777133,0.207321103000979,0.178575300222753,0.149313979475399,0.098882223591846,0.0493562589148573,0.0124972357116254,0,162.780897141648,93.0176555095129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.281918668485564,0.281918668485564,0.281918668485564,0.281918668485564,0.281918668485564,0.281918668485564,0.281918668485564,0.13202636358226,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0584553542052439,0.0419180902179364,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.0253808262306289,0.00761424786918868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.475606048161808,0.358300906152055,0.034313939875279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.592662632196183,0.592662632196183,0.592662632196183,0.592662632196183,0.592662632196183,0.592662632196183,0.592662632196183,0.592662632196183,0.587934388363789,0.586583461554534,0.586583461554534,0.586583461554534,0.586583461554534,0.586583461554534,0.586583461554534,0.586583461554534,0.50742159792041,0.428259734286286,0.428259734286286,0.428259734286286,0.428259734286286,0.214129867143143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.455614839292855,0.455614839292855,0.455614839292855,0.455614839292855,0.455614839292855,0.455614839292855,0.451574319892821,0.447533800492787,0.447533800492787,0.447533800492787,0.447533800492787,0.387875780615933,0.370830632079689,0.370830632079689,0.370830632079689,0.370830632079689,0.370830632079689,0.370830632079689,0.370830632079689,0.359716164752556,0.312009996697192,0.165985476900124,0.0563355720362831,0.0157740216122464,0.00744547573480582,0.00744547573480582,1.07738161374149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
