n_sector,addetti_ul,72
3.0,1485.299990118,0.0
4.0,28212.000027223,0.00011838933421157972
5.0,2784.710011559,0.0
6.0,3407.029996054,0.0
7.0,930.62000034,0.0
8.0,2506.2199963079997,0.0
9.0,2815.25000038,0.0
10.0,2746.81000973,0.0
11.0,1526.21998248,0.0
12.0,2590.4600057959997,0.0
13.0,7087.569993852,0.0
14.0,1003.47000159,0.0
15.0,10421.910002385,0.0
16.0,4748.61979505,0.0
17.0,971.47999522,0.0
18.0,2583.820005959,0.0
19.0,574.9399953899999,0.0
20.0,1560.109989,0.0
21.0,3993.369986496,0.0
22.0,8941.969964651,0.0
23.0,4687.759996766,0.0
24.0,2622.489995444,0.0
25.0,13568.949996947,0.0
26.0,66840.9799789122,0.0
27.0,218720.2498811636,4.5720503727630435e-06
28.0,53748.750079216006,0.0
29.0,82994.0000571548,2.9038244913371144e-05
30.0,1943.640003365,0.0
31.0,5230.979982639999,0.0
32.0,9949.569994255,0.0
33.0,22285.210022066,0.0
34.0,6943.8999961738,0.0
35.0,48313.609991081,0.0
36.0,874.3399999,0.0
37.0,9707.399996369,0.00010301419539465197
38.0,59770.5699853,0.0
40.0,7408.129995297,0.0
41.0,67022.5901181048,0.0
42.0,10973.590001381,0.0
43.0,24491.719993795,0.0
