n_sector,addetti_ul,4,23,24,91
3.0,1303.84999681,0.0,0.0,0.0,0.0
4.0,37030.589902249,0.0,0.0,0.0,0.0
5.0,23366.890029817,0.0,0.0,0.0,0.0
6.0,7845.680010779,0.0,0.0,0.0,0.0
7.0,5191.0799824,0.0,0.0,0.0,0.0
8.0,5774.380002035,0.0,0.0,0.0,0.0
9.0,1478.1200075,0.0,0.0,0.0,0.0
10.0,10290.61996615,0.0,0.0,0.0,0.0
11.0,2794.5700268,0.0,0.0,0.0,0.0
12.0,23439.450051497,0.003874664286084631,0.003874664286084631,0.003874664286084631,0.0
13.0,9362.89000146,0.0,0.0,0.0,0.0
14.0,8247.40003662,0.0,0.0,0.0,0.0
15.0,55429.919997206,5.2498724518214735e-05,5.2498724518214735e-05,5.2498724518214735e-05,0.0
16.0,7556.090024659,0.0,0.0,0.0,0.0
17.0,10952.639993016,0.0,0.0,0.0,0.0
18.0,54760.149831302,0.0,0.0,0.0,0.0
19.0,49913.979789838,6.0103402145680455e-05,6.0103402145680455e-05,6.0103402145680455e-05,0.0
20.0,12684.850070080001,0.00047221683874125773,0.00047221683874125773,0.00047221683874125773,0.0
21.0,16031.109944222999,0.0,0.0,0.0,0.0
22.0,12364.420008403,0.0002410141355578958,0.0002410141355578958,0.0002410141355578958,0.0
23.0,6863.029987883,0.0,0.0,0.0,0.0
24.0,2547.529976048,0.0,0.0,0.0,0.0
25.0,11154.399979377,0.0,0.0,0.0,0.0
26.0,101278.919964499,9.873722985499124e-06,9.873722985499124e-06,9.873722985499124e-06,0.0
27.0,250525.0799657384,3.9916163289390385e-06,1.1455938784222715e-05,3.9916163289390385e-06,3.9916163289390385e-06
28.0,74714.839968685,0.0,0.0,0.0,0.0
29.0,99307.9899728156,0.0,0.0,0.0,0.0
30.0,4447.770015704,0.0,0.0,0.0,0.0
31.0,6129.229966041,0.0,0.0,0.0,0.0
32.0,43603.620217464,0.0,0.0,0.0,0.0
33.0,54986.260064172,0.0,1.8186361444348913e-05,1.8186361444348913e-05,0.0
34.0,25784.899999985,0.0,0.0,0.0,0.0
35.0,72903.350032143,0.0,0.0,0.0,0.0
36.0,3330.860029839,0.0,0.0,0.0,0.0
37.0,26578.669979738,0.0,0.0,0.0,0.0
38.0,106492.4698309508,0.0,3.342959277450552e-05,3.342959277450552e-05,0.0
40.0,7347.90999888,0.0,0.0,0.0,0.0
41.0,76543.70012046001,0.0,0.0,0.0,0.0
42.0,11266.149996175,0.0,0.0,0.0,0.0
43.0,35675.129999593,0.0,0.0,0.0,0.0
