n_sector,addetti_ul,4,23,24,28,33,42
3.0,914.85999705,0.0,0.0,0.0,0.0,0.0,0.0
4.0,47934.760030393,0.0,0.0,0.0,0.0,0.0,0.0
5.0,67909.1199645398,0.0,0.0,0.0,0.0,0.0,0.0
6.0,13389.100004984999,0.00012472832373932748,0.00012472832373932748,0.00012472832373932748,0.00012472832373932748,0.00012472832373932748,0.0
7.0,11835.180002979001,0.0,0.0,0.0,0.0,0.0,0.0
8.0,11458.050053875,0.0,0.0,0.0,0.0,0.0,0.0
9.0,735.669999899,0.0,0.0,0.0,0.0,0.0,0.0
10.0,11011.60000377,0.0,0.0,0.0,0.0,0.0,0.0
11.0,4698.880034,0.0,0.0,0.0,0.0,0.0,0.0
12.0,26087.00001798,0.0,0.0,0.0,0.0,0.0,0.0
13.0,21844.679987048,0.0,0.0,0.0,0.0,0.0,0.0
14.0,13900.49001727,0.0,0.0,0.0,0.0,0.0,0.0
15.0,86738.490060118,1.1528907170356611e-05,1.1528907170356611e-05,1.1528907170356611e-05,1.1528907170356611e-05,1.1528907170356611e-05,0.0
16.0,9547.89001336,0.0,0.0,0.0,0.0,0.0,0.0
17.0,31981.260033597,0.0,0.0,0.0,0.0,0.0,0.0
18.0,77390.920127877,0.0,0.0,0.0,0.0,0.0,0.0
19.0,6836.499996048,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6400.979968528,0.0,0.0,0.0,0.0,0.0,0.0
21.0,60834.910079999005,3.2875860215293554e-05,3.2875860215293554e-05,3.2875860215293554e-05,3.2875860215293554e-05,3.2875860215293554e-05,0.0
22.0,16243.599996226,0.00018468812336532622,0.00018468812336532622,0.00018468812336532622,0.00018468812336532622,0.00018468812336532622,0.0
23.0,5506.37999061,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2893.8699777,0.0,0.0,0.0,0.0,0.0,0.0
25.0,13289.469973013,0.0,0.0,0.0,0.0,0.0,0.0
26.0,127178.010024729,1.3445720527216151e-05,1.3445720527216151e-05,1.3445720527216151e-05,1.3445720527216151e-05,1.3445720527216151e-05,0.0
27.0,323146.8098877408,0.0,1.3120971243605808e-05,0.0,0.0,0.0,0.0
28.0,97480.30996236081,0.0,0.0,0.0,0.0,0.0,0.0
29.0,155325.749997718,2.6267376143749134e-05,3.270545868971908e-05,3.270545868971908e-05,2.6267376143749134e-05,2.6267376143749134e-05,2.6267376143749134e-05
30.0,3336.830011949,0.0,0.0,0.0,0.0,0.0,0.0
31.0,4556.110018015001,0.0,0.0,0.0,0.0,0.0,0.0
32.0,35096.569926346805,0.0,0.0,0.0,0.0,0.0,0.0
33.0,47152.259892906,0.0,0.0,0.0,0.0,0.0,0.0
34.0,37194.659993705,0.0,0.0,0.0,0.0,0.0,0.0
35.0,84667.46996990399,0.0,2.3621823124169444e-05,2.3621823124169444e-05,0.0,0.0,0.0
36.0,2301.3300176000002,0.0,0.0,0.0,0.0,0.0,0.0
37.0,26595.819997382,0.0,0.0,0.0,0.0,0.0,0.0
38.0,118246.739944808,0.0,1.6490940815029387e-05,1.6490940815029387e-05,0.0,0.0,0.0
40.0,8480.049992342,0.0,0.0,0.0,0.0,0.0,0.0
41.0,68798.289994033,0.0,4.3605734971904036e-05,4.3605734971904036e-05,4.3605734971904036e-05,4.3605734971904036e-05,0.0
42.0,16866.659980601,0.0,5.928856105181101e-05,5.928856105181101e-05,5.928856105181101e-05,0.0,0.0
43.0,46278.439999928,0.0,4.300058515375834e-05,4.300058515375834e-05,0.0,0.0,0.0
