n_sector,addetti_ul,4,24,42,72
3.0,657.97000269,0.0,0.0,0.0,0.0
4.0,13207.889987950999,0.0,0.0,0.0,0.0
5.0,2429.50998689,0.0,0.0,0.0,0.0
6.0,6903.720006509,0.0,0.0,0.0,0.0
7.0,1775.3700234,0.0,0.0,0.0,0.0
8.0,2413.2199835,0.0,0.0,0.0,0.0
9.0,91.02000000000001,0.0,0.0,0.0,0.0
10.0,1760.180034219,0.0,0.0,0.0,0.0
11.0,355.48999013,0.0,0.0,0.0,0.0
12.0,2795.70999465,0.0,0.0,0.0,0.0
13.0,3205.579998891,0.0,0.0,0.0,0.0
14.0,1740.58001436,0.0,0.0,0.0,0.0
15.0,9431.7699789,0.0,0.0,0.0,0.0
16.0,1083.75999657,0.0,0.0,0.0,0.0
17.0,2030.10001946,0.0,0.0,0.0,0.0
18.0,6590.5200358600005,0.0,0.0,0.0,0.0
19.0,3201.160065709,0.0,0.0,0.0,0.0
20.0,1584.9500319,0.0,0.0,0.0,0.0
21.0,5279.900000161,0.0,0.0,0.0,0.0
22.0,1914.939998316,0.0,0.0,0.0,0.0
23.0,3742.04001621,0.0,0.0,0.0,0.0
24.0,272.45999592,0.0,0.0,0.0,0.0
25.0,2529.5099898189997,0.0,0.0,0.0,0.0
26.0,37874.17996336,0.0001584192715407827,0.0001584192715407827,0.0,0.0
27.0,72946.689867674,0.00016491495243749286,0.00016491495243749286,0.00016491495243749286,0.00016491495243749286
28.0,19597.9199939,0.0,0.0,0.0,0.0
29.0,67078.1299651318,0.0006079477755446976,0.0007661215349431071,0.0006079477755446976,0.00023405542027127313
30.0,1148.8700107500001,0.0,0.0,0.0,0.0
31.0,913.57999995,0.0,0.0,0.0,0.0
32.0,10058.680023044999,0.0,0.0,0.0,0.0
33.0,10720.479960158,0.0,0.0,0.0,0.0
34.0,6898.760004221001,0.00043486075731935194,0.0007247679288655866,0.00043486075731935194,0.00043486075731935194
35.0,16957.469996237,0.0005885311607341569,0.0005885311607341569,0.0005885311607341569,0.0005885311607341569
36.0,823.71000518,0.0,0.0,0.0,0.0
37.0,5442.649995688,0.0,0.0001837340267686258,0.0,0.0
38.0,24170.480163723,0.0,0.0,0.0,0.0
40.0,4316.51999536,0.0,0.0,0.0,0.0
41.0,15621.369966932,0.0,0.0,0.0,0.0
42.0,3476.199987906,0.0,0.0,0.0,0.0
43.0,8037.859998316,0.0009753840203291108,0.0009753840203291108,0.0009753840203291108,0.0009753840203291108
