ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,119.77000100000001
8110,Attività estrattiva,3.0,IND4,na,94.8099992
8120,Attività estrattiva,3.0,IND4,na,113.93000072
8990,Attività estrattiva,3.0,IND4,na,3.0
9100,Attività estrattiva,3.0,IND4,na,752.6799988
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,752.98000421
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1377.119988
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,334.189999489
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,199.04000221
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,49.9399989
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,525.129992014
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,442.87999883
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,36.7900002
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.48999992
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.190000099999999
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,261.1400009
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,73.11000099
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,73.1799998
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,12.2
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,137.3599998
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2504.429999039
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,764.589996379
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,624.23999768
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1620.159987561
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,473.619999
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,129.28000021
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,16.7200003
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,259.49000072
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,46.0600004
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,183.53999955
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,122.5100021
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,93.0399997
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,654.0900019000001
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,50.2600001
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.34000011
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,54.38000018
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,518.1100192
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,97.44000119
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,60.03999978
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,285.839998881
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,44.57000021
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,128.28000018
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,517.380000458
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2.9299999
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,6.44000021
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,135.3899997
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,199.4799968
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,166.77999602
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,143.11999938
13992,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,4.0
13999,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,5.24
14110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,6.0
