ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6100,Attività estrattiva,3.0,IND4,na,120.669999
6200,Attività estrattiva,3.0,IND4,na,344.199999
8110,Attività estrattiva,3.0,IND4,na,9.7699999
8120,Attività estrattiva,3.0,IND4,na,169.7600013
8990,Attività estrattiva,3.0,IND4,na,2.0
9100,Attività estrattiva,3.0,IND4,na,102.58000200000001
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,39.91000016
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.3199999
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,120.56000092000001
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,39.32
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,87.68000430000001
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,162.529999531
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,31.86
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,16.1700001
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,430.33999817
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7.0
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,47.7800012
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,15.5800004
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5.389999899999999
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1378.8599985
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,160.349999
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,535.790001901
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,248.42999982
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,410.15001
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,41.6999999
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,14.290000000000001
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,18.43
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,41.1000002
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,38.3199997
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,39.619999
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,134.97000051
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,15.219999898
11060,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,27.52
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,293.22999930000003
