ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,75.84
8110,Attività estrattiva,3.0,IND4,na,13.049999888999999
8120,Attività estrattiva,3.0,IND4,na,290.87000051
8990,Attività estrattiva,3.0,IND4,na,17.4899999
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,129.64999989999998
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,344.04000071
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,246.740003508
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.35
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,188.6000013
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,921.94999335
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1040.140002968
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,47.34999999
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.9499998000000005
10420,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.0
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.0
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,748.22000245
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,125.91999878
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,109.62999989
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,16.96
10613,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.8499999
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,13.0500002
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3023.6400038799998
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,607.15000007
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,160.8
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,214.88999875
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,114.43999879900001
