ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,653.97998811
8110,Attività estrattiva,3.0,IND4,na,29.28
8120,Attività estrattiva,3.0,IND4,na,589.90999914
8930,Attività estrattiva,3.0,IND4,na,20.52
8990,Attività estrattiva,3.0,IND4,na,64.899999
9100,Attività estrattiva,3.0,IND4,na,298.75000549
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5560.0500234
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3397.2199779000002
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8241.619969330999
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,160.160003
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,158.80000189999998
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1184.2899882
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4676.979995059
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,64.57999929
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,453.60000012
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,240.0100012
10420,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,523.21002
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1933.7899399
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3989.889995798
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,406.09000245
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,649.45999981
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,61.5100003
10613,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,38.41
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,392.92000198
10620,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.51
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8442.259995365
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1796.92000756
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1637.35999511
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4250.540011158
10810,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,293.2799969
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,365.94000201
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1183.45000763
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,987.27999733
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1376.780007628
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,143.96000206899998
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2576.979999829
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1250.48999512
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,155.6100012
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,513.04999822
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1879.05999178
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,68.41000002
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,91.230000204
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,217.4699972
12000,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1711.54009
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,292.1500022
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,483.2899998
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1231.99999855
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,494.1799992
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,332.299999719
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,571.86000054
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,32.2099999
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,81.310001
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,178.98999890000002
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,229.0400006
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,374.399986989
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,664.60000087
13992,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,10.3900003
13999,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
14110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,201.73000136000002
14120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,180.929998
14131,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,11895.649960821
14132,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,744.21000067
14140,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1181.14998285
14191,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2905.909999057
14192,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,692.39001092
14200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,141.70000053
14310,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,78.7299998
14390,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2710.58998789
15110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,72.780001
15120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1905.95000274
15201,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2526.99000895
15202,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1816.41999974
16100,Industria del legno,6.0,IND1,IND_LG,736.37000122
16210,Industria del legno,6.0,IND1,IND_LG,980.51000021
16220,Industria del legno,6.0,IND1,IND_LG,0.0
16231,Industria del legno,6.0,IND1,IND_LG,3217.949997137
16232,Industria del legno,6.0,IND1,IND_LG,1109.43000292
16240,Industria del legno,6.0,IND1,IND_LG,1149.1199993999999
16291,Industria del legno,6.0,IND1,IND_LG,455.67000253
16292,Industria del legno,6.0,IND1,IND_LG,96.9899991
16293,Industria del legno,6.0,IND1,IND_LG,11.33999981
16294,Industria del legno,6.0,IND1,IND_LG,231.550001078
17110,Carta e prodotti di carta,7.0,IND1,IND_LG,77.75999902000001
17120,Carta e prodotti di carta,7.0,IND1,IND_LG,139.02999911999999
17210,Carta e prodotti di carta,7.0,IND1,IND_LG,2982.5300115
17220,Carta e prodotti di carta,7.0,IND1,IND_LG,61.859999599999995
17230,Carta e prodotti di carta,7.0,IND1,IND_LG,1304.48999597
17240,Carta e prodotti di carta,7.0,IND1,IND_LG,58.5899998
17290,Carta e prodotti di carta,7.0,IND1,IND_LG,717.72999321
18110,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,117.5600008
18120,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,6171.959996707
