ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
8110,Attività estrattiva,3.0,IND4,na,114.7699976
8120,Attività estrattiva,3.0,IND4,na,80.05999888
8910,Attività estrattiva,3.0,IND4,na,2.0
8990,Attività estrattiva,3.0,IND4,na,12.48
9900,Attività estrattiva,3.0,IND4,na,10.0
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,259.8999995
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,946.4299984
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,54.91
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,17.040000098
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,25.31999995
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.0
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,35.279999999999994
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,223.9700002
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,381.68999562
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,18.64
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,116.599999
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.0
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,32.2500005
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1959.48999497
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,232.73999933
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,635.4599863000001
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,228.24000014
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,121.860001
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,795.04000222
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,26.460000009999998
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,583.2499983
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,276.119999
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,133.61000039
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,67.4100011
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,9.0
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,171.5899999
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,383.849997
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,50.239999
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,124.1299967
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,87.0100009
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,235.959999
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,98.0400003
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,179.62000001
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,30.0700002
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,113.00999962
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,257.5300029
