ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6100,Attività estrattiva,3.0,IND4,na,36.900002
6200,Attività estrattiva,3.0,IND4,na,883.20001
7290,Attività estrattiva,3.0,IND4,na,1.11000001
8110,Attività estrattiva,3.0,IND4,na,681.819996729
8120,Attività estrattiva,3.0,IND4,na,232.08999822
8910,Attività estrattiva,3.0,IND4,na,6.4899998
8930,Attività estrattiva,3.0,IND4,na,5.32
8990,Attività estrattiva,3.0,IND4,na,141.71000022
9100,Attività estrattiva,3.0,IND4,na,15.32
9900,Attività estrattiva,3.0,IND4,na,3.0
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,934.44999889
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,88.910001
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1075.24000428
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,47.24000018
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,153.65999
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,22.82000009
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,939.4499941400001
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,418.979999765
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,32.670000008
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,33.7
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,225.12000001
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,983.85000165
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,421.6599995
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,173.4900009
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,17.91000012
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,25.81999991
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7861.27000338
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1654.960000669
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,619.92000126
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1160.410000406
10810,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.0
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,399.1700003
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,502.239995099
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,24.93
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,324.5100005
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,410.1300111
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1091.1000057098
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,50.9399997
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,15.96
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,224.109999299
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,233.09000211
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,12.559999900000001
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,555.500010009
11060,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,14.55
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,374.0599949
12000,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,52.939999
