ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,53.99999998
8110,Attività estrattiva,3.0,IND4,na,82.92999779
8120,Attività estrattiva,3.0,IND4,na,148.2099983
8910,Attività estrattiva,3.0,IND4,na,21.35
8990,Attività estrattiva,3.0,IND4,na,3.0
9100,Attività estrattiva,3.0,IND4,na,46.139999
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,288.81000187
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1486.7300000999999
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,615.399999808
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,267.58000011
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,12.630000410000001
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,537.9000055
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,181.850000338
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,23.9899999
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.12
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,271.58998999799996
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,415.020001698
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,26.689999800000002
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,145.82000018
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.01999998
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,79.26000090000001
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3558.28000035
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,789.559998209
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,298.84000131999994
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1242.09999953
10810,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.83
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,48.59999949
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,230.17000162
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5.5799999
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,321.33000176
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,63.0699998
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,415.79999849
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,149.76000081
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,24.4099991
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,31.85
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,449.01999647
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.74000001
11030,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.0
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,68.79000011
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,187.210001
12000,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,79.370003
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,341.73000108
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,110.44999920000001
