ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,16.75
8110,Attività estrattiva,3.0,IND4,na,60.220000999999996
8120,Attività estrattiva,3.0,IND4,na,27.360000098
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,42.53000078
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.0
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,24.09999981
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.0
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.0
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,173.8799996
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,135.98999823
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,75.980003
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,661.259998118
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,32.8799998
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,20.269999998
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5.0899999000000005
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,775.639999119
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,83.82000025
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,88.01999798
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,274.64999811
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,63.5899981
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,77.7300002
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.56999999
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,43.65000053
