ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,141.66999800000002
8110,Attività estrattiva,3.0,IND4,na,261.2599973
8120,Attività estrattiva,3.0,IND4,na,465.37000151
8990,Attività estrattiva,3.0,IND4,na,423.96
9100,Attività estrattiva,3.0,IND4,na,10.59
9900,Attività estrattiva,3.0,IND4,na,1.0
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1424.319991957
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,246.85999669999998
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1208.83001276
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,65.179999
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,120.73
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,45.1599987
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1510.41999042
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7.71
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,18.9100004
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,93.780001
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,288.1900029
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2083.160010426
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,147.40999982
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,406.8499994
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,74.2299999
10613,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,581.0999946000001
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,121.9299991
10620,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,671.56001
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7831.290003236
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1443.04000205
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2549.70000102
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1433.82999524
10810,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5458.53988435
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1953.7300069
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,125.9300014
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,579.77000056
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,95.1300011
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1051.68000202
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,497.16999599999997
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,368.1300031
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,974.4499923999999
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2038.1399971
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,742.53000831
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,240.17999758
11060,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,509.3200028
12000,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,13.7
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,3935.65001629
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,4753.6199849
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1303.9299914
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,235.75999887
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,387.960000989
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,881.19000121
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,149.7899999
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,72.38999799999999
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,484.84000949
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,512.34000168
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1137.680013028
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,133.33000098
13992,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,8.98
13999,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,136.31000070000002
14110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,20.3699998
14120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,167.12000099
14131,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,3938.31001911
14132,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1075.60998941
14140,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,864.42000488
14191,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,728.0899943200001
14192,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,425.2700058
14200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,100.05999969999999
14310,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,112.7500001
14390,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,569.65000093
15110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,376.4299947
15120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,376.75999967
15201,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,361.7600019
15202,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,116.52000107
16100,Industria del legno,6.0,IND1,IND_LG,902.19000019
16210,Industria del legno,6.0,IND1,IND_LG,569.9699986
16220,Industria del legno,6.0,IND1,IND_LG,14.750000400000001
16231,Industria del legno,6.0,IND1,IND_LG,3933.569998399
16232,Industria del legno,6.0,IND1,IND_LG,874.08000137
16240,Industria del legno,6.0,IND1,IND_LG,759.18000381
16291,Industria del legno,6.0,IND1,IND_LG,531.8100054399999
16292,Industria del legno,6.0,IND1,IND_LG,97.00000249
16293,Industria del legno,6.0,IND1,IND_LG,10.73
16294,Industria del legno,6.0,IND1,IND_LG,152.40000008
17120,Carta e prodotti di carta,7.0,IND1,IND_LG,1176.2299897
17210,Carta e prodotti di carta,7.0,IND1,IND_LG,1584.4100021
17220,Carta e prodotti di carta,7.0,IND1,IND_LG,456.5199901
17230,Carta e prodotti di carta,7.0,IND1,IND_LG,960.74000127
17240,Carta e prodotti di carta,7.0,IND1,IND_LG,6.79
17290,Carta e prodotti di carta,7.0,IND1,IND_LG,1006.38999923
18110,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,16.0
18120,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,4776.980005267
18130,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,498.700000948
18140,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,464.66999583
