ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6100,Attività estrattiva,3.0,IND4,na,392.369991
6200,Attività estrattiva,3.0,IND4,na,15.5
8110,Attività estrattiva,3.0,IND4,na,455.090000508
8120,Attività estrattiva,3.0,IND4,na,255.3900004
8930,Attività estrattiva,3.0,IND4,na,266.5599978
8990,Attività estrattiva,3.0,IND4,na,42.26000039
9100,Attività estrattiva,3.0,IND4,na,45.480000000000004
9900,Attività estrattiva,3.0,IND4,na,12.65000002
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,436.69999821
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,184.389999
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,166.78000074
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1282.73001385
10310,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.0
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,372.62999817
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1775.420004002
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,803.3300023959999
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,25.69
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,31.560000119999998
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,150.88000067
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1091.35000081
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,145.36999980000002
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,423.3299997
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,30.700000398
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,131.75000083
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,11659.040000107
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2073.489999717
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1066.26000527
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,513.509998169
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,460.02999741
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,641.639995099
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,45.5400003
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,417.91999973000003
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,126.36000259000001
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,966.52999461
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,413.65000165
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,12.67
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,123.79999911
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1619.570007715
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,227.22999851999998
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.1299999
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,102.03000013
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,679.9900084999999
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,14.500000100000001
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,5.3599999
