ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
8110,Attività estrattiva,3.0,IND4,na,1378.999997076
8120,Attività estrattiva,3.0,IND4,na,161.83999861
8920,Attività estrattiva,3.0,IND4,na,0.0
8930,Attività estrattiva,3.0,IND4,na,37.5
8990,Attività estrattiva,3.0,IND4,na,85.710000998
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,421.69999815
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,272.799999
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1268.0899957279998
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,202.47000022
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,15.02000011
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,866.51000729
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,674.10999757
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,52.3
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.809999999999999
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,209.42999921999998
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,853.899995104
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,943.989989578
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,243.08999859
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.37
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,101.79000020000001
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7794.760000558
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1759.64999945
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,656.69999716
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1130.14998908
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,335.75000039
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,508.41000448
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,337.0800109
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,648.1100036299999
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,223.4199953
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,663.099994511
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,77.9899993
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,13.92
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,81.61999911
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1607.290004058
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.0
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.1600001
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,95.08000021
