ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
8110,Attività estrattiva,3.0,IND4,na,359.76000221
8120,Attività estrattiva,3.0,IND4,na,239.73000188
8920,Attività estrattiva,3.0,IND4,na,8.3800001
8990,Attività estrattiva,3.0,IND4,na,50.0999985
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,869.95998638
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1205.949982191
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,57.8099999
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,743.28001997
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,869.31998821
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.5599999
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,650.8999902
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1090.32000691
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,76.4900013
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,42.099998
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,7.0
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,62.579999300000004
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2594.45000231
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,257.37999971
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,650.5900102
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,286.6800013
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,24.08999982
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,105.84999880000001
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,19.9200001
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,278.96000048999997
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,440.2400009
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,254.58000220000002
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,200.50999909
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,355.70000094
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1311.41999682
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,204.40000071
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.0900002
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,342.81
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,192.9500021
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,351.4599892
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,96.8899976
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,9.2399998
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,135.779999
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,101.9599993
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,10.04
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,67.709999
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,24.29
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,55.7399999
13999,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
14120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,28.7599997
14131,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,299.77000041
14132,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,96.68000001
14140,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,27.61
14191,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,56.0700006
14192,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,215.63000000000002
14200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,5.279999999999999
14310,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,13.0
14390,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,251.5000002
15110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,28.23
15120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,54.40000017
15201,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,492.470002
15202,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,3.0
16100,Industria del legno,6.0,IND1,IND_LG,1006.94000247
16210,Industria del legno,6.0,IND1,IND_LG,102.79000296999999
16220,Industria del legno,6.0,IND1,IND_LG,4.96
16231,Industria del legno,6.0,IND1,IND_LG,2449.33000054
16232,Industria del legno,6.0,IND1,IND_LG,2096.309992269
16240,Industria del legno,6.0,IND1,IND_LG,447.2599993
16291,Industria del legno,6.0,IND1,IND_LG,772.00000906
16293,Industria del legno,6.0,IND1,IND_LG,1.0
16294,Industria del legno,6.0,IND1,IND_LG,23.1299999
17120,Carta e prodotti di carta,7.0,IND1,IND_LG,774.490012
17210,Carta e prodotti di carta,7.0,IND1,IND_LG,165.3000011
17230,Carta e prodotti di carta,7.0,IND1,IND_LG,535.1100104
17290,Carta e prodotti di carta,7.0,IND1,IND_LG,300.4699999
18110,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,323.95999
18120,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,1500.84000032
18130,Servizi di stampa e di registrazione,8.0,IND2,IND_LG,107.19999928
