ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
8110,Attività estrattiva,3.0,IND4,na,128.44000053000002
8120,Attività estrattiva,3.0,IND4,na,64.78999981
8990,Attività estrattiva,3.0,IND4,na,69.629999
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,384.25000059900003
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8.3500004
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,477.6699971
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,201.64999939999998
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,433.51999935
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,211.2100002
10420,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,0.41999999
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.869999799999999
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,291.3299998
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,228.3600001
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,162.1799986
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,173.5700012
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1945.469994401
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,754.14000198
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,526.389991
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,455.75999823
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,771.4499900000001
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,38.969999800000004
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,127.14999998
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,132.68000082
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,33.6099999
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,193.0500005
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,370.44000373
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,165.1299998
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,56.22
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,325.52000300000003
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.3200000999999997
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,48.81000012
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,199.9800009
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,139.00000079
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,75.4599999
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,318.27999966
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,240.58000044
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,126.36999772
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,107.40000017
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2.0
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,721.7399809
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,9.8800001
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,81.610000278
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,99.66999938
13992,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1.0
14110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,248.50000052
14120,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,259.09000033
14131,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2785.160008679
14132,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,278.7800013
14140,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,458.5399994
14191,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,403.94999601
