ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
8110,Attività estrattiva,3.0,IND4,na,9.0
8120,Attività estrattiva,3.0,IND4,na,22.829999899999997
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,9.84999984
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,52.440000999999995
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,34.57
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1.0
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,101.39999999999999
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,141.08000061
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3.0
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,256.44999952
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,77.0199996
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,15.9599999
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,51.1100001
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,12.8300004
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.0
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,6.9699998
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.4099999
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,4.47
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2.9900001
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,56.1000001
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.9799996
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,93.4299962
