"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.087887822242843,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0.0644647467764483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.0546260962525658,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0.014413571621819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,0.0234368780295334,0.0234368780295334,0.0234368780295334,0.0234368780295334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,0.0472128306730989,0.0472128306730989,0.0472128306730989,0.0472128306730989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,0.0424523447938999,0.0424523447938999,0.0424523447938999,0.0424523447938999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,0.0504967690043327,0.0504967690043327,0.0504967690043327,0.0504967690043327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.0382859670566697,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0.00883522316692377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.127231082509754,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.00529037317289067,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0.000868936186887588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12,0.0508497295302929,0.0508497295302929,0.0508497295302929,0.0508497295302929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,0.0353213997676448,0.0353213997676448,0.0353213997676448,0.0353213997676448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.0744002344045877,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0.00270209396509082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
