"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,0.00792725880597315,0.00792725880597315,0.00792725880597315,0.00792725880597315,0.00792725880597315,0.00792725880597315,0.00792725880597315,0.00772224508695514,0.0062623228942933,0.00538859698010923,0.00516634873233711,0.00378789300747704,0.00363140389232414,0.00315529370298554,0.00312076180712321,2.92501820234177e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,0.00243853029707543,0.00243853029707543,0.00243853029707543,0.00243853029707543,0.00243853029707543,0.00243853029707543,0.00243853029707543,0.00197547591936614,0.00189184420263467,0.00172827073238363,0.00102321809815007,0.000542133181978971,0.000233096631545509,0.000193459736461632,4.09139244191925e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,0.00842240894216099,0.00842240894216099,0.00842240894216099,0.00842240894216099,0.00842240894216099,0.00842240894216099,0.00842240894216099,0.00698229364057668,0.00651995937140031,0.00614155608571111,0.00551339569924282,0.00244888774714324,0.00109389223575544,0.00101898901851082,0.000594110357517628,0.000351322551235804,7.85688498798708e-05,3.27370207832795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.0044081938284795,0.00305121634818147,0.00275886972181056,0.00141250056902253,0.000984618341412255,0.000726402654352464,0.000689514699058208,0.000154494280632558,0.000154494280632558,1.93117850790697e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,0.00909961160813317,0.00909961160813317,0.00909961160813317,0.00909961160813317,0.00909961160813317,0.00909961160813317,0.00909961160813317,0.00827113230251257,0.00821923240544577,0.00796811767745132,0.00780590355453698,0.00286954868746192,0.00262908836714616,0.00258292508230652,0.00135586624097909,0.000762437452850029,0.000762437452850029,0.000329771656919943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.00454344746942705,0.0038611088616318,0.0038611088616318,0.00232748202783039,0.00079385519402897,0.00079385519402897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0240185012700037,0.0043512156011568,0.00416414804696851,0.00262788140852292,0.00168390752820003,0.00108015255336513,0.00108015255336513,0.000717503062127772,0.000406660641067178,0.000121998192320153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12,0.0059187105548541,0.0059187105548541,0.0059187105548541,0.0059187105548541,0.0059187105548541,0.0059187105548541,0.0059187105548541,0.00462887438715291,0.00449928375506713,0.00405398608789555,0.00280873574281368,0.00182318416972215,0.00131144027029567,0.000956089026075049,0.000939455981330318,0.000422922719847903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,0.00263885514438712,0.00263885514438712,0.00263885514438712,0.00263885514438712,0.00263885514438712,0.00263885514438712,0.00263885514438712,0.00254290718668408,0.00137889834892993,0.00119180564590971,0.00102393011806633,0.000752156790658492,0.000566018363740266,0.000540409970861315,0.00028995968975461,0.000134975638338688,0.000134975638338688,0.000134975638338688,0.000134975638338688,4.04926915016063e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,0.00459717661158094,0.00459717661158094,0.00459717661158094,0.00459717661158094,0.00459717661158094,0.00459717661158094,0.00459717661158094,0.00350174938809657,0.00288163889745585,0.00261587725860982,0.0010162177526782,0.000984276092926487,0.000295282827877946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
