Sector,restoration_time,flood_depth
COM1,28,4
COM1,52,8
COM1,100,12
COM1,72,10000
COM2,28,4
COM2,52,8
COM2,100,12
COM2,72,10000
COM3,12,4
COM3,24,8
COM3,72,10000
COM4,24,4
COM4,40,8
COM4,76,12
COM4,72,10000
COM5,24,4
COM5,40,8
COM5,76,12
COM5,72,10000
COM6,24,-4
COM6,48,0
COM6,72,4
COM6,96,8
COM7,24,4
COM7,40,8
COM7,76,12
COM7,72,10000
COM8,28,4
COM8,52,8
COM8,100,12
COM8,72,10000
COM9,28,4
COM9,52,8
COM9,100,12
COM9,72,10000
COM10,0,0
IND1,4,0
IND2,4,0
IND3,24,4
IND3,40,8
IND3,76,12
IND3,72,10000
IND4,24,4
IND4,40,8
IND4,76,12
IND4,72,10000
IND5,28,4
IND5,52,8
IND5,100,12
IND5,72,10000
IND6,4,0
AGR1,4,0
EDU1,24,4
EDU1,40,8
EDU1,76,12
EDU1,72,10000
EDU2,24,4
EDU2,40,8
EDU2,76,12
EDU2,72,10000
GOV1,24,4
GOV1,40,8
GOV1,76,12
GOV1,72,10000
RES4,20,4
RES4,32,8
RES4,48,12
RES4,72,10000
RES6,24,4
RES6,40,8
RES6,76,12
RES6,72,10000
